**********Reduction Summary****************
300 buses in reduced model
"6762 branches in reduced model, including 6744 equivalent lines"
External generator on bus 29030 is moved to 29027
External generator on bus 29031 is moved to 29027
External generator on bus 29032 is moved to 28365
External generator on bus 29033 is moved to 28417
External generator on bus 29034 is moved to 28417
External generator on bus 29035 is moved to 28417
External generator on bus 29038 is moved to 28417
External generator on bus 29042 is moved to 26215
External generator on bus 29043 is moved to 26215
External generator on bus 29044 is moved to 28013
External generator on bus 29046 is moved to 28417
External generator on bus 29047 is moved to 28417
External generator on bus 29048 is moved to 28417
External generator on bus 29051 is moved to 28885
External generator on bus 29052 is moved to 28885
External generator on bus 29054 is moved to 28667
External generator on bus 29056 is moved to 28667
External generator on bus 29057 is moved to 28667
External generator on bus 29059 is moved to 28474
External generator on bus 29060 is moved to 28549
External generator on bus 29062 is moved to 28417
External generator on bus 29063 is moved to 28417
External generator on bus 29064 is moved to 28417
External generator on bus 29070 is moved to 28417
External generator on bus 29071 is moved to 28417
External generator on bus 29073 is moved to 23263
External generator on bus 29075 is moved to 28013
External generator on bus 29076 is moved to 28013
External generator on bus 29084 is moved to 29083
External generator on bus 30269 is moved to 30001
External generator on bus 30272 is moved to 30390
External generator on bus 30274 is moved to 30001
External generator on bus 30277 is moved to 30182
External generator on bus 30279 is moved to 30390
External generator on bus 30280 is moved to 30390
External generator on bus 30281 is moved to 30001
External generator on bus 30285 is moved to 30207
External generator on bus 30287 is moved to 30001
External generator on bus 30291 is moved to 74104
External generator on bus 30293 is moved to 40984
External generator on bus 30297 is moved to 30172
External generator on bus 30298 is moved to 30172
External generator on bus 30299 is moved to 30172
External generator on bus 30300 is moved to 30172
External generator on bus 30301 is moved to 30172
External generator on bus 30306 is moved to 30390
External generator on bus 30307 is moved to 30390
External generator on bus 30309 is moved to 30001
External generator on bus 30310 is moved to 30001
External generator on bus 30316 is moved to 30390
External generator on bus 30317 is moved to 30390
External generator on bus 30319 is moved to 30390
External generator on bus 30320 is moved to 30390
External generator on bus 30323 is moved to 30207
External generator on bus 30326 is moved to 30182
External generator on bus 30327 is moved to 30182
External generator on bus 30332 is moved to 30221
External generator on bus 30335 is moved to 30001
External generator on bus 30336 is moved to 30001
External generator on bus 30337 is moved to 30001
External generator on bus 30343 is moved to 30220
External generator on bus 30344 is moved to 30220
External generator on bus 30347 is moved to 30113
External generator on bus 30349 is moved to 30205
External generator on bus 30350 is moved to 30205
External generator on bus 30351 is moved to 30220
External generator on bus 30352 is moved to 30182
External generator on bus 30357 is moved to 30001
External generator on bus 30358 is moved to 30001
External generator on bus 30363 is moved to 30001
External generator on bus 30364 is moved to 30001
External generator on bus 30365 is moved to 30001
External generator on bus 30368 is moved to 30182
External generator on bus 30373 is moved to 30372
External generator on bus 30374 is moved to 30372
External generator on bus 30375 is moved to 30372
External generator on bus 30376 is moved to 30372
External generator on bus 30377 is moved to 30372
External generator on bus 30379 is moved to 30127
External generator on bus 30381 is moved to 30390
External generator on bus 30386 is moved to 50024
External generator on bus 30391 is moved to 30390
External generator on bus 30392 is moved to 30390
External generator on bus 30393 is moved to 30390
External generator on bus 30394 is moved to 30390
External generator on bus 30395 is moved to 30390
External generator on bus 30396 is moved to 30390
External generator on bus 30397 is moved to 30390
External generator on bus 30398 is moved to 30001
External generator on bus 30404 is moved to 30127
External generator on bus 30405 is moved to 30127
External generator on bus 30406 is moved to 30127
External generator on bus 30407 is moved to 30127
External generator on bus 30408 is moved to 30127
External generator on bus 30409 is moved to 30127
External generator on bus 30410 is moved to 30127
External generator on bus 30411 is moved to 30127
External generator on bus 30412 is moved to 30127
External generator on bus 30413 is moved to 30127
External generator on bus 30414 is moved to 30127
External generator on bus 30415 is moved to 30127
External generator on bus 30421 is moved to 30113
External generator on bus 30422 is moved to 30113
External generator on bus 30423 is moved to 30172
External generator on bus 30425 is moved to 30189
External generator on bus 30426 is moved to 30001
External generator on bus 30427 is moved to 30189
External generator on bus 30428 is moved to 30001
External generator on bus 30429 is moved to 30113
External generator on bus 30434 is moved to 30182
External generator on bus 30435 is moved to 30001
External generator on bus 30441 is moved to 30172
External generator on bus 30442 is moved to 30172
External generator on bus 30443 is moved to 30172
External generator on bus 30445 is moved to 30001
External generator on bus 30446 is moved to 30001
External generator on bus 30447 is moved to 30001
External generator on bus 30460 is moved to 30001
External generator on bus 30461 is moved to 30001
External generator on bus 40695 is moved to 40519
External generator on bus 40696 is moved to 40519
External generator on bus 40697 is moved to 40519
External generator on bus 40700 is moved to 28885
External generator on bus 40701 is moved to 28885
External generator on bus 40702 is moved to 28885
External generator on bus 40703 is moved to 40006
External generator on bus 40706 is moved to 53253
External generator on bus 40707 is moved to 53253
External generator on bus 40708 is moved to 40309
External generator on bus 40709 is moved to 40309
External generator on bus 40710 is moved to 40309
External generator on bus 40712 is moved to 40409
External generator on bus 40715 is moved to 40786
External generator on bus 40721 is moved to 40073
External generator on bus 40722 is moved to 28885
External generator on bus 40723 is moved to 28885
External generator on bus 40728 is moved to 40563
External generator on bus 40732 is moved to 40756
External generator on bus 40740 is moved to 40739
External generator on bus 40741 is moved to 40739
External generator on bus 40742 is moved to 40739
External generator on bus 40743 is moved to 40739
External generator on bus 40744 is moved to 40739
External generator on bus 40745 is moved to 40739
External generator on bus 40747 is moved to 40563
External generator on bus 40750 is moved to 40786
External generator on bus 40757 is moved to 40756
External generator on bus 40758 is moved to 40756
External generator on bus 40764 is moved to 40763
External generator on bus 40768 is moved to 40515
External generator on bus 40769 is moved to 40515
External generator on bus 40770 is moved to 40515
External generator on bus 40771 is moved to 40515
External generator on bus 40772 is moved to 40515
External generator on bus 40773 is moved to 40515
External generator on bus 40774 is moved to 40516
External generator on bus 40778 is moved to 40076
External generator on bus 40779 is moved to 40076
External generator on bus 40780 is moved to 40076
External generator on bus 40782 is moved to 40595
External generator on bus 40787 is moved to 40786
External generator on bus 40788 is moved to 40786
External generator on bus 40790 is moved to 40073
External generator on bus 40793 is moved to 40076
External generator on bus 40797 is moved to 40076
External generator on bus 40798 is moved to 40076
External generator on bus 40799 is moved to 40076
External generator on bus 40800 is moved to 40076
External generator on bus 40801 is moved to 40076
External generator on bus 40802 is moved to 40076
External generator on bus 40803 is moved to 40076
External generator on bus 40804 is moved to 40076
External generator on bus 40806 is moved to 40519
External generator on bus 40808 is moved to 40391
External generator on bus 40813 is moved to 40168
External generator on bus 40814 is moved to 40168
External generator on bus 40815 is moved to 40168
External generator on bus 40816 is moved to 40168
External generator on bus 40817 is moved to 40168
External generator on bus 40818 is moved to 40168
External generator on bus 40825 is moved to 40824
External generator on bus 40826 is moved to 40824
External generator on bus 40827 is moved to 40824
External generator on bus 40828 is moved to 40824
External generator on bus 40829 is moved to 40824
External generator on bus 40833 is moved to 40006
External generator on bus 40834 is moved to 40786
External generator on bus 40836 is moved to 40076
External generator on bus 40837 is moved to 40076
External generator on bus 40838 is moved to 40076
External generator on bus 40844 is moved to 40843
External generator on bus 40845 is moved to 40843
External generator on bus 40849 is moved to 40076
External generator on bus 40850 is moved to 40076
External generator on bus 40855 is moved to 40854
External generator on bus 40856 is moved to 40854
External generator on bus 40857 is moved to 40854
External generator on bus 40858 is moved to 40854
External generator on bus 40859 is moved to 40515
External generator on bus 40861 is moved to 40004
External generator on bus 40863 is moved to 40310
External generator on bus 40865 is moved to 40518
External generator on bus 40868 is moved to 40369
External generator on bus 40869 is moved to 40369
External generator on bus 40870 is moved to 40369
External generator on bus 40871 is moved to 40518
External generator on bus 40873 is moved to 40401
External generator on bus 40879 is moved to 40878
External generator on bus 40880 is moved to 40878
External generator on bus 40881 is moved to 40878
External generator on bus 40885 is moved to 40073
External generator on bus 40886 is moved to 40073
External generator on bus 40887 is moved to 40073
External generator on bus 40888 is moved to 40073
External generator on bus 40889 is moved to 40073
External generator on bus 40892 is moved to 40369
External generator on bus 40893 is moved to 40369
External generator on bus 40894 is moved to 40369
External generator on bus 40895 is moved to 40369
External generator on bus 40896 is moved to 40369
External generator on bus 40897 is moved to 40369
External generator on bus 40904 is moved to 40903
External generator on bus 40905 is moved to 40903
External generator on bus 40906 is moved to 40903
External generator on bus 40907 is moved to 40903
External generator on bus 40908 is moved to 40903
External generator on bus 40913 is moved to 40912
External generator on bus 40914 is moved to 40912
External generator on bus 40915 is moved to 40912
External generator on bus 40916 is moved to 40912
External generator on bus 40917 is moved to 40912
External generator on bus 40918 is moved to 40595
External generator on bus 40919 is moved to 28885
External generator on bus 40921 is moved to 40535
External generator on bus 40924 is moved to 40786
External generator on bus 40935 is moved to 40934
External generator on bus 40936 is moved to 40934
External generator on bus 40937 is moved to 40934
External generator on bus 40943 is moved to 40739
External generator on bus 40944 is moved to 40739
External generator on bus 40945 is moved to 40739
External generator on bus 40946 is moved to 40739
External generator on bus 40947 is moved to 40934
External generator on bus 40949 is moved to 40409
External generator on bus 40950 is moved to 40004
External generator on bus 40953 is moved to 40409
External generator on bus 40959 is moved to 40076
External generator on bus 40960 is moved to 40076
External generator on bus 40961 is moved to 40076
External generator on bus 40962 is moved to 40076
External generator on bus 40963 is moved to 40076
External generator on bus 40964 is moved to 40076
External generator on bus 40966 is moved to 40535
External generator on bus 40969 is moved to 40076
External generator on bus 40970 is moved to 40076
External generator on bus 40971 is moved to 40076
External generator on bus 40972 is moved to 40076
External generator on bus 40973 is moved to 40076
External generator on bus 40974 is moved to 40076
External generator on bus 40976 is moved to 28885
External generator on bus 40977 is moved to 28885
External generator on bus 40990 is moved to 40073
External generator on bus 40994 is moved to 40076
External generator on bus 40995 is moved to 40076
External generator on bus 40996 is moved to 40076
External generator on bus 40997 is moved to 40519
External generator on bus 41000 is moved to 40076
External generator on bus 41001 is moved to 40076
External generator on bus 41002 is moved to 40076
External generator on bus 41005 is moved to 40050
External generator on bus 41009 is moved to 40756
External generator on bus 41010 is moved to 40756
External generator on bus 41011 is moved to 40756
External generator on bus 41014 is moved to 40786
External generator on bus 41016 is moved to 40073
External generator on bus 41017 is moved to 40006
External generator on bus 50361 is moved to 50397
External generator on bus 50362 is moved to 50397
External generator on bus 50363 is moved to 50397
External generator on bus 50364 is moved to 50397
External generator on bus 50365 is moved to 50397
External generator on bus 50366 is moved to 50397
External generator on bus 50367 is moved to 50397
External generator on bus 50369 is moved to 50443
External generator on bus 50374 is moved to 50397
External generator on bus 50375 is moved to 50397
External generator on bus 50376 is moved to 50397
External generator on bus 50379 is moved to 50196
External generator on bus 50382 is moved to 50316
External generator on bus 50386 is moved to 50385
External generator on bus 50387 is moved to 50385
External generator on bus 50390 is moved to 50024
External generator on bus 50391 is moved to 50024
External generator on bus 50393 is moved to 50024
External generator on bus 50398 is moved to 50397
External generator on bus 50399 is moved to 50397
External generator on bus 50402 is moved to 50397
External generator on bus 50403 is moved to 50397
External generator on bus 50404 is moved to 50397
External generator on bus 50409 is moved to 50385
External generator on bus 50412 is moved to 50075
External generator on bus 50413 is moved to 50075
External generator on bus 50418 is moved to 50397
External generator on bus 50419 is moved to 50397
External generator on bus 50421 is moved to 50024
External generator on bus 50424 is moved to 50397
External generator on bus 50433 is moved to 50443
External generator on bus 50434 is moved to 50443
External generator on bus 50437 is moved to 50099
External generator on bus 50440 is moved to 50077
External generator on bus 50441 is moved to 50077
External generator on bus 50442 is moved to 50077
External generator on bus 50449 is moved to 50448
External generator on bus 50451 is moved to 50007
External generator on bus 50457 is moved to 50385
External generator on bus 50458 is moved to 50316
External generator on bus 53216 is moved to 53215
External generator on bus 53217 is moved to 53215
External generator on bus 53218 is moved to 53215
External generator on bus 53222 is moved to 60000
External generator on bus 53224 is moved to 60000
External generator on bus 53226 is moved to 80007
External generator on bus 53233 is moved to 53297
External generator on bus 53236 is moved to 80007
External generator on bus 53241 is moved to 53253
External generator on bus 53242 is moved to 53253
External generator on bus 53243 is moved to 53253
External generator on bus 53244 is moved to 53253
External generator on bus 53246 is moved to 80007
External generator on bus 53248 is moved to 53297
External generator on bus 53254 is moved to 53253
External generator on bus 53255 is moved to 53253
External generator on bus 53261 is moved to 53297
External generator on bus 53263 is moved to 80007
External generator on bus 53264 is moved to 80007
External generator on bus 53268 is moved to 53297
External generator on bus 53269 is moved to 53297
External generator on bus 53270 is moved to 53012
External generator on bus 53277 is moved to 53297
External generator on bus 53279 is moved to 60000
External generator on bus 53284 is moved to 80007
External generator on bus 53285 is moved to 80007
External generator on bus 53288 is moved to 80007
External generator on bus 53289 is moved to 80007
External generator on bus 53292 is moved to 80007
External generator on bus 53293 is moved to 80007
External generator on bus 53298 is moved to 53297
External generator on bus 53300 is moved to 80007
External generator on bus 53301 is moved to 80007
External generator on bus 53303 is moved to 53297
External generator on bus 53305 is moved to 53297
External generator on bus 60631 is moved to 60629
External generator on bus 60635 is moved to 60662
External generator on bus 60646 is moved to 60629
External generator on bus 60656 is moved to 60629
External generator on bus 60663 is moved to 60662
External generator on bus 60664 is moved to 60662
External generator on bus 60668 is moved to 60651
External generator on bus 60670 is moved to 60727
External generator on bus 60677 is moved to 60727
External generator on bus 60678 is moved to 60727
External generator on bus 60679 is moved to 60651
External generator on bus 60687 is moved to 60727
External generator on bus 60688 is moved to 60727
External generator on bus 60689 is moved to 60727
External generator on bus 60690 is moved to 60727
External generator on bus 60691 is moved to 60727
External generator on bus 60692 is moved to 60727
External generator on bus 60695 is moved to 53002
External generator on bus 60696 is moved to 60651
External generator on bus 60701 is moved to 60651
External generator on bus 60702 is moved to 60651
External generator on bus 60707 is moved to 60872
External generator on bus 60708 is moved to 60872
External generator on bus 60712 is moved to 60629
External generator on bus 60716 is moved to 60727
External generator on bus 60717 is moved to 60727
External generator on bus 60721 is moved to 60651
External generator on bus 60722 is moved to 60194
External generator on bus 60728 is moved to 60727
External generator on bus 60729 is moved to 60308
External generator on bus 60730 is moved to 60308
External generator on bus 60731 is moved to 60751
External generator on bus 60732 is moved to 60751
External generator on bus 60734 is moved to 53297
External generator on bus 60735 is moved to 53297
External generator on bus 60746 is moved to 60727
External generator on bus 60752 is moved to 60727
External generator on bus 60760 is moved to 60651
External generator on bus 60763 is moved to 60662
External generator on bus 60764 is moved to 60662
External generator on bus 60765 is moved to 60872
External generator on bus 60766 is moved to 60651
External generator on bus 60773 is moved to 60308
External generator on bus 60776 is moved to 60775
External generator on bus 60780 is moved to 60651
External generator on bus 60783 is moved to 60727
External generator on bus 60788 is moved to 60662
External generator on bus 60789 is moved to 60662
External generator on bus 60791 is moved to 60662
External generator on bus 60792 is moved to 60662
External generator on bus 60793 is moved to 60662
External generator on bus 60794 is moved to 60662
External generator on bus 60795 is moved to 60662
External generator on bus 60798 is moved to 60872
External generator on bus 60799 is moved to 60872
External generator on bus 60801 is moved to 60662
External generator on bus 60802 is moved to 60662
External generator on bus 60803 is moved to 60662
External generator on bus 60807 is moved to 53297
External generator on bus 60810 is moved to 60308
External generator on bus 60811 is moved to 60872
External generator on bus 60814 is moved to 60751
External generator on bus 60815 is moved to 60751
External generator on bus 60820 is moved to 60629
External generator on bus 60822 is moved to 60651
External generator on bus 60825 is moved to 60194
External generator on bus 60827 is moved to 60872
External generator on bus 60834 is moved to 60727
External generator on bus 60835 is moved to 60727
External generator on bus 60839 is moved to 60727
External generator on bus 60840 is moved to 60727
External generator on bus 60841 is moved to 60727
External generator on bus 60844 is moved to 60727
External generator on bus 60847 is moved to 60872
External generator on bus 60848 is moved to 60872
External generator on bus 60850 is moved to 60308
External generator on bus 60851 is moved to 60308
External generator on bus 60852 is moved to 60662
External generator on bus 60856 is moved to 60194
External generator on bus 60857 is moved to 60194
External generator on bus 60861 is moved to 60727
External generator on bus 60862 is moved to 60727
External generator on bus 60865 is moved to 60629
External generator on bus 60873 is moved to 60872
External generator on bus 60874 is moved to 60872
External generator on bus 60875 is moved to 60629
External generator on bus 60881 is moved to 60662
External generator on bus 60882 is moved to 60662
External generator on bus 60883 is moved to 60662
External generator on bus 60892 is moved to 60891
External generator on bus 60893 is moved to 60891
External generator on bus 60894 is moved to 60891
External generator on bus 60895 is moved to 60891
External generator on bus 60896 is moved to 60891
External generator on bus 70098 is moved to 70097
External generator on bus 70099 is moved to 70097
External generator on bus 70100 is moved to 70097
External generator on bus 70104 is moved to 70097
External generator on bus 70105 is moved to 70134
External generator on bus 70107 is moved to 70172
External generator on bus 70110 is moved to 70134
External generator on bus 70111 is moved to 70097
External generator on bus 70114 is moved to 70097
External generator on bus 70115 is moved to 70097
External generator on bus 70121 is moved to 70134
External generator on bus 70126 is moved to 70125
External generator on bus 70127 is moved to 70125
External generator on bus 70128 is moved to 70172
External generator on bus 70131 is moved to 50316
External generator on bus 70141 is moved to 60727
External generator on bus 70142 is moved to 60727
External generator on bus 70144 is moved to 60727
External generator on bus 70146 is moved to 70172
External generator on bus 70147 is moved to 50316
External generator on bus 70149 is moved to 70097
External generator on bus 70150 is moved to 70097
External generator on bus 70154 is moved to 70153
External generator on bus 70155 is moved to 70153
External generator on bus 70156 is moved to 70153
External generator on bus 70160 is moved to 70097
External generator on bus 70166 is moved to 70097
External generator on bus 70167 is moved to 70134
External generator on bus 70168 is moved to 50316
External generator on bus 70173 is moved to 70172
External generator on bus 70174 is moved to 70172
External generator on bus 70176 is moved to 70134
External generator on bus 70177 is moved to 70172
External generator on bus 70180 is moved to 70097
External generator on bus 70181 is moved to 70097
External generator on bus 70182 is moved to 70097
External generator on bus 70184 is moved to 70134
External generator on bus 70188 is moved to 50316
External generator on bus 70189 is moved to 50316
External generator on bus 74196 is moved to 70000
External generator on bus 74199 is moved to 74104
External generator on bus 74200 is moved to 74104
External generator on bus 74204 is moved to 74104
External generator on bus 74205 is moved to 74104
External generator on bus 74211 is moved to 10677
External generator on bus 74212 is moved to 10677
External generator on bus 74213 is moved to 10965
External generator on bus 74214 is moved to 13446
External generator on bus 74220 is moved to 74001
External generator on bus 74223 is moved to 74001
External generator on bus 74225 is moved to 70000
External generator on bus 74226 is moved to 74104
External generator on bus 74228 is moved to 74001
External generator on bus 74230 is moved to 74104
External generator on bus 74231 is moved to 74104
External generator on bus 74233 is moved to 74104
External generator on bus 74236 is moved to 74235
External generator on bus 74240 is moved to 10677
External generator on bus 74248 is moved to 50196
External generator on bus 74252 is moved to 10944
External generator on bus 74259 is moved to 74104
External generator on bus 74260 is moved to 74104
External generator on bus 74261 is moved to 50007
External generator on bus 74263 is moved to 50196
External generator on bus 74266 is moved to 74053
External generator on bus 74268 is moved to 70000
External generator on bus 74270 is moved to 74104
External generator on bus 74271 is moved to 50196
External generator on bus 74276 is moved to 10965
External generator on bus 74280 is moved to 70000
External generator on bus 74282 is moved to 74104
External generator on bus 74283 is moved to 74104
External generator on bus 74284 is moved to 50196
External generator on bus 74288 is moved to 74104
External generator on bus 74289 is moved to 74104
External generator on bus 74291 is moved to 74104
External generator on bus 74292 is moved to 74104
External generator on bus 74295 is moved to 74104
External generator on bus 74296 is moved to 74104
External generator on bus 74298 is moved to 74001
External generator on bus 74301 is moved to 74235
External generator on bus 74303 is moved to 50196
External generator on bus 74305 is moved to 50196
External generator on bus 74307 is moved to 74001
External generator on bus 74310 is moved to 70000
External generator on bus 74313 is moved to 50196
External generator on bus 74317 is moved to 50196
External generator on bus 74318 is moved to 50196
External generator on bus 74322 is moved to 50196
External generator on bus 74324 is moved to 50196
External generator on bus 74328 is moved to 10944
External generator on bus 74329 is moved to 10944
External generator on bus 74332 is moved to 74104
External generator on bus 74333 is moved to 74104
External generator on bus 74334 is moved to 74104
External generator on bus 74335 is moved to 50196
External generator on bus 77187 is moved to 74235
External generator on bus 77195 is moved to 74132
External generator on bus 77196 is moved to 77258
External generator on bus 77197 is moved to 77258
External generator on bus 77199 is moved to 77001
External generator on bus 77200 is moved to 77258
External generator on bus 77204 is moved to 74235
External generator on bus 77207 is moved to 77258
External generator on bus 77213 is moved to 77258
External generator on bus 77216 is moved to 77258
External generator on bus 77223 is moved to 74235
External generator on bus 77228 is moved to 77258
External generator on bus 77231 is moved to 77258
External generator on bus 77236 is moved to 74235
External generator on bus 77243 is moved to 77001
External generator on bus 77248 is moved to 77258
External generator on bus 77250 is moved to 77258
External generator on bus 77251 is moved to 77258
External generator on bus 77252 is moved to 74235
External generator on bus 77259 is moved to 77258
External generator on bus 77260 is moved to 77258
External generator on bus 77261 is moved to 77258
External generator on bus 77264 is moved to 74132
External generator on bus 77267 is moved to 77258
External generator on bus 77270 is moved to 74132
External generator on bus 77274 is moved to 74235
External generator on bus 77280 is moved to 74235
External generator on bus 77286 is moved to 77258
External generator on bus 77289 is moved to 74235
External generator on bus 77290 is moved to 77258
External generator on bus 77291 is moved to 77258
External generator on bus 77294 is moved to 77258
External generator on bus 80085 is moved to 80007
External generator on bus 80092 is moved to 80091
External generator on bus 80093 is moved to 80091
External generator on bus 80094 is moved to 80091
External generator on bus 80095 is moved to 80091
External generator on bus 80096 is moved to 80091
External generator on bus 80097 is moved to 80091
External generator on bus 80098 is moved to 80091
External generator on bus 80099 is moved to 80091
External generator on bus 80100 is moved to 80007
>> 
