OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Length,SHAPE_Area
59,13485,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",200 CANAL ST.,NEW SMYRNA BEACH,FL,32168,(386) 427-1361,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00,OTHER,2018/06/04 00:00:00,http://www.ucnsb.net/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,815294.139864966,4217909541.09476
60,6909,GAINESVILLE REGIONAL UTILITIES,P O BOX 147117,GAINESVILLE,FL,32614,(352) 334-3434,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.gru.com/,2018,9,656,0,0,0,656,437,171,316776.37613554,3337223073.81061
61,19281,TURLOCK IRRIGATION DISTRICT,333 EAST CANAL DRIVE,TURLOCK,CA,95380,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,7,599,0,64,0,728,629,254,445417.389318756,2786376966.26973
62,17716,SOUTHWESTERN POWER ADMINISTRATION,14165 EAST 143RD STREET SOUTH,GORE,OR,74435,(918) 489-5582,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.swpa.gov/,2018,1,1934,60,243,0,2237,172,47,657469.305875361,2476023911.2516
63,19547,HAWAIIAN ELECTRIC CO INC,900 RICHARDS STREET,HONOLULU,HI,96813,(808) 548-7311,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.hawaiianelectric.com/,2018,9,1356,274,147,120,1897,1225,606,286937.531752595,1872931489.07698
64,5748,"ELECTRIC ENERGY, INC.",P O BOX 165,JOPPA,IL,62953,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,1,1235,0,0,0,1235,0,0,202395.847611406,2081856074.42745
65,58790,"GRIDFORCE ENERGY MANAGEMENT, LLC",1331 LAMAR ST #560,HOUSTON,TX,77010,(713) 332-2902,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.grid4ce.net/,2018,1,0,0,0,0,0,0,0,243818.347200297,2305228166.53203
66,14015,OHIO VALLEY ELECTRIC CORPORATION,3932 U.S. ROUTE 23,PIKETON,OH,45661,(740) 289-7200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.ovec.com/,2018,3,2026,0,0,225,2251,141,30,192258.505373847,1910765608.07754
67,56090,"GRIFFITH ENERGY, LLC",6996 COLUMBIA GATEWAY DR STE 202,COLUMBIA,MD,21046,(888) 721-5707,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.griffithenergyservices.com/,2018,1,0,0,0,0,0,0,0,241878.213343632,1605572422.38894
68,317,"ALCOA POWER GENERATING, INC. - YADKIN DIVISION",201 ISABELLA ST. SUITE 500,PITTSBURG,PA,NOT AVAILABLE,(412) 315-2900,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.alcoa.com/,2018,1,219,0,0,0,219,10,1,163527.935453548,1280621003.46207
69,16868,SEATTLE CITY LIGHT,700 FIFTH AVENUE,SEATTLE,WA,98124,(800) 862-1181,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.seattle-gov/,2018,2,1528,316,0,0,2869,1763,1185,164388.982270229,701882298.615991
70,18445,CITY OF TALLAHASSEE,400 E  VAN BUREN STREET,TALLAHASSEE,FL,32301,(850) 891-4968,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.talgov.com/you/YourOwnUtilitiesHome.aspx,2018,1,702,0,0,0,702,621,193,374715.677489051,457073054.679406
71,56812,"ARLINGTON VALLEY, LLC - AVBA",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,NOT AVAILABLE,2018,-999999,-999999,-999999,-999999,-999999,-999999,0,0,15996.3647401979,11505001.2088347
