TSMachine,UnitType,EDMargCostMW,FuelType,BusNum,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MWMin,MWMax,MvarMin,MvarMax,CostModel,PartFact
GENROU,GT (Gas Turbine),27.98,NG (Natural Gas),4134,PEARSALL 3,1,Closed,10.21,-3.73,1,YES,YES,10.08,33.6,-3.73,17.1,Cubic,33.6
GENROU,GT (Gas Turbine),27.98,NG (Natural Gas),4135,PEARSALL 4,1,Closed,10.21,-3.73,1,YES,YES,10.08,33.6,-3.73,17.1,Cubic,33.6
GENROU,GT (Gas Turbine),27.98,NG (Natural Gas),4136,PEARSALL 5,1,Closed,10.21,-3.73,1,YES,YES,10.08,33.6,-3.73,17.1,Cubic,33.6
GENROU,GT (Gas Turbine),0,NG (Natural Gas),4137,PEARSALL 6,1,Open,0,0,1,YES,YES,20.16,67.2,-7.46,34.2,Cubic,67.2
GENROU,GT (Gas Turbine),0,NG (Natural Gas),4138,PEARSALL 7,1,Open,0,0,1,YES,YES,19.8,66,-7.33,33.59,Cubic,66
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4142,SARITA 1 2,1,Closed,141,40.04,1.04,NO,YES,56.4,188,-27.07,40.04,Cubic,188
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4153,ARMSTRONG 1 2,1,Closed,212.4,60.32,1.04,NO,YES,84.96,283.2,-40.78,60.32,Cubic,283.2
GENROU,GT (Gas Turbine),18.04,NG (Natural Gas),4160,CORPUS CHRISTI 1 2,1,Closed,197.22,68.62,1.03,YES,YES,59.33,197.77,-21.95,100.66,Cubic,197.77
GENROU,GT (Gas Turbine),17.72,NG (Natural Gas),4161,CORPUS CHRISTI 1 3,1,Closed,87.79,28.72,1.03,YES,YES,59.33,197.77,-21.95,100.66,Cubic,197.77
GENROU,GT (Gas Turbine),17.79,NG (Natural Gas),4162,CORPUS CHRISTI 1 4,1,Closed,112.46,27.68,1.03,YES,YES,59.33,197.77,-21.95,100.66,Cubic,197.77
GENROU,GT (Gas Turbine),0,NG (Natural Gas),4163,CORPUS CHRISTI 1 5,1,Open,0,0,1.03,YES,YES,2.7,9,-1,4.58,Cubic,9
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4166,SARITA 2 1,1,Closed,150.75,-28.94,1,NO,YES,60.3,201,-28.94,42.81,Cubic,201
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4177,BRUNI 1 1,1,Closed,112.5,8.16,1.04,NO,YES,45,150,-21.6,31.95,Cubic,150
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4181,TAFT 1 0,1,Closed,150.07,42.62,1.04,NO,YES,60.03,200.1,-28.81,42.62,Cubic,200.1
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4183,SAN PERLITA 0,1,Closed,152.25,43.24,1.03,NO,YES,60.9,203,-29.23,43.24,Cubic,203
GENROU,GT (Gas Turbine),17.09,NG (Natural Gas),4192,BROWNSVILLE 1 0,1,Closed,74.79,21.27,1.02,YES,YES,22.5,75,-8.33,38.17,Cubic,75
GENROU,GT (Gas Turbine),17.93,NG (Natural Gas),4192,BROWNSVILLE 1 0,10,Closed,183.26,21.27,1.02,YES,YES,55.13,183.77,-20.4,93.54,Cubic,183.77
GENROU,GT (Gas Turbine),0,NG (Natural Gas),4192,BROWNSVILLE 1 0,2,Open,0,0,1.02,YES,YES,7.2,24,-2.66,12.22,Cubic,24
GENROU,GT (Gas Turbine),16.98,NG (Natural Gas),4192,BROWNSVILLE 1 0,3,Closed,60.83,21.27,1.02,YES,YES,18.3,61,-6.77,31.05,Cubic,61
GENROU,GT (Gas Turbine),16.6,NG (Natural Gas),4192,BROWNSVILLE 1 0,4,Closed,10.37,5.29,1.02,YES,YES,3.12,10.4,-1.15,5.29,Cubic,10.4
GENROU,GT (Gas Turbine),18.2,NG (Natural Gas),4192,BROWNSVILLE 1 0,5,Closed,136.48,21.27,1.02,YES,YES,80.1,267,-29.64,135.9,Cubic,267
GENROU,GT (Gas Turbine),18.25,NG (Natural Gas),4192,BROWNSVILLE 1 0,6,Closed,155.9,21.27,1.02,YES,YES,80.1,267,-29.64,135.9,Cubic,267
GENROU,GT (Gas Turbine),18.25,NG (Natural Gas),4192,BROWNSVILLE 1 0,7,Closed,155.9,21.27,1.02,YES,YES,80.1,267,-29.64,135.9,Cubic,267
GENROU,GT (Gas Turbine),17.93,NG (Natural Gas),4192,BROWNSVILLE 1 0,8,Closed,183.26,21.27,1.02,YES,YES,55.13,183.77,-20.4,93.54,Cubic,183.77
GENROU,GT (Gas Turbine),17.93,NG (Natural Gas),4192,BROWNSVILLE 1 0,9,Closed,183.26,21.27,1.02,YES,YES,55.13,183.77,-20.4,93.54,Cubic,183.77
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4194,SEBASTIAN 1 0,1,Closed,151.2,42.94,1.02,NO,YES,60.48,201.6,-29.03,42.94,Cubic,201.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),4195,OILTON 0,1,Closed,69,-13.25,1,NO,YES,27.6,92,-13.25,19.6,Cubic,92
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),5020,JACKSBORO 1 2,1,Closed,90,-11.79,1,NO,YES,36,120,-17.28,25.56,Cubic,120
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5023,ALEDO 1 2,1,Open,0,0,1.04,YES,YES,1.44,4.8,-0.53,2.44,Cubic,4.8
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5035,DALLAS 1 2,1,Open,0,0,1.02,YES,YES,1.26,4.2,-0.47,2.14,Cubic,4.2
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5036,DALLAS 1 3,1,Open,0,0,1.02,YES,YES,1.92,6.4,-0.71,3.26,Cubic,6.4
GENROU,GT (Gas Turbine),16.77,NG (Natural Gas),5037,DALLAS 1 4,1,Closed,93.74,76.29,1.02,YES,YES,92.54,308.47,-34.24,157.01,Cubic,308.47
GENROU,GT (Gas Turbine),16.77,NG (Natural Gas),5038,DALLAS 1 5,1,Closed,93.74,74.11,1.02,YES,YES,92.54,308.47,-34.24,157.01,Cubic,308.47
GENROU,GT (Gas Turbine),16.77,NG (Natural Gas),5039,DALLAS 1 6,1,Closed,93.74,157.01,1.02,YES,YES,92.54,308.47,-34.24,157.01,Cubic,308.47
GENROU,GT (Gas Turbine),16.77,NG (Natural Gas),5040,DALLAS 1 7,1,Closed,93.74,55.86,1.02,YES,YES,92.54,308.47,-34.24,157.01,Cubic,308.47
GENROU,GT (Gas Turbine),16.77,NG (Natural Gas),5041,DALLAS 1 8,1,Closed,93.74,80.68,1.02,YES,YES,92.54,308.47,-34.24,157.01,Cubic,308.47
GENROU,GT (Gas Turbine),16.77,NG (Natural Gas),5042,DALLAS 1 9,1,Closed,93.74,69.22,1.02,YES,YES,92.54,308.47,-34.24,157.01,Cubic,308.47
GENROU,GT (Gas Turbine),17.24,NG (Natural Gas),5051,GREENVILLE 1 2,1,Closed,84.46,43.11,1.02,YES,YES,25.41,84.7,-9.4,43.11,Cubic,84.7
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5057,GRAHAM 2,1,Open,0,0,1,YES,YES,95.2,317.35,-35.23,161.53,Cubic,317.35
GENROU,GT (Gas Turbine),18.11,NG (Natural Gas),5058,GRAHAM 3,1,Closed,251.16,-12.74,1,YES,YES,95.2,317.35,-35.23,161.53,Cubic,317.35
GENROU,GT (Gas Turbine),16.02,NG (Natural Gas),5065,ARLINGTON 1 2,1,Closed,10.57,5.4,1.03,YES,YES,3.18,10.6,-1.18,5.4,Cubic,10.6
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5066,ARLINGTON 1 3,1,Open,0,0,1.03,YES,YES,0.54,1.8,-0.2,0.92,Cubic,1.8
GENROU,GT (Gas Turbine),19.19,NG (Natural Gas),5067,ARLINGTON 1 4,1,Closed,437.05,194.05,1.03,YES,YES,131.48,438.27,-48.65,223.08,Cubic,438.27
GENROU,GT (Gas Turbine),19.19,NG (Natural Gas),5068,ARLINGTON 1 5,1,Closed,437.05,183.38,1.03,YES,YES,131.48,438.27,-48.65,223.08,Cubic,438.27
GENROU,GT (Gas Turbine),19.19,NG (Natural Gas),5069,ARLINGTON 1 6,1,Closed,437.05,172.2,1.03,YES,YES,131.48,438.27,-48.65,223.08,Cubic,438.27
GENSAL,HY (Hydro),0,WAT (Water),5089,CLIFTON 1 1,1,Open,0,0,1.01,YES,YES,0,123.9,-2.05,47.57,Cubic,41.8
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),5106,IRVING 1 1,1,Open,0,0,1.04,YES,YES,3.24,10.8,-1.32,5.03,Cubic,10.8
GENROU,ST (Steam Turbine),0,BIT (Bituminous Coal),5107,IRVING 1 2,1,Open,0,0,1.04,YES,YES,1.71,5.7,-0.7,2.66,Cubic,5.7
GENROU,GT (Gas Turbine),16.88,NG (Natural Gas),5166,DENTON 1 2,1,Closed,126.15,64.39,1.04,YES,YES,37.95,126.5,-14.04,64.39,Cubic,126.5
GENROU,GT (Gas Turbine),15.95,NG (Natural Gas),5167,DENTON 1 3,1,Closed,1.6,0.81,1.04,YES,YES,0.48,1.6,-0.18,0.81,Cubic,1.6
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),5170,DUBLIN 1 1,1,Closed,45,-8.64,1,NO,YES,18,60,-8.64,12.78,Cubic,60
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),5198,BRYSON 1 2,1,Closed,112.5,-21.6,1,NO,YES,45,150,-21.6,31.95,Cubic,150
GENROU,GT (Gas Turbine),17.67,NG (Natural Gas),5206,POOLVILLE 2,1,Closed,207.1,35.14,1.01,YES,YES,74.6,248.67,-27.6,126.57,Cubic,248.67
GENROU,GT (Gas Turbine),17.6,NG (Natural Gas),5207,POOLVILLE 3,1,Closed,180.01,63,1.01,YES,YES,74.6,248.67,-27.6,126.57,Cubic,248.67
GENROU,GT (Gas Turbine),17.6,NG (Natural Gas),5208,POOLVILLE 4,1,Closed,180.01,50.47,1.01,YES,YES,74.6,248.67,-27.6,126.57,Cubic,248.67
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),5238,OLNEY 1 2,1,Closed,168.75,-32.4,1,NO,YES,67.5,225,-32.4,47.93,Cubic,225
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),5243,GOLDTHWAITE 1 4,1,Closed,112.5,-21.6,1,NO,YES,45,150,-21.6,31.95,Cubic,150
GENROU,NB (ST - Boiling Water Nuclear Reactor),7.37,NUC (Nuclear),5262,GLEN ROSE 1 2,1,Closed,1211.61,56.27,1.01,YES,YES,364.5,1215,-99.63,447.12,Cubic,1215
GENROU,NB (ST - Boiling Water Nuclear Reactor),8.46,NUC (Nuclear),5263,GLEN ROSE 1 3,1,Closed,1023.98,51.46,1.01,YES,YES,364.5,1215,-99.63,447.12,Cubic,1215
GENROU,GT (Gas Turbine),20.44,NG (Natural Gas),5281,TEMPLE 1 2,1,Closed,266.98,-29.72,1,YES,YES,80.32,267.73,-29.72,136.28,Cubic,267.73
GENROU,GT (Gas Turbine),20.44,NG (Natural Gas),5282,TEMPLE 1 3,1,Closed,266.98,-29.72,1,YES,YES,80.32,267.73,-29.72,136.28,Cubic,267.73
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5283,TEMPLE 1 4,1,Open,0,0,1,YES,YES,80.32,267.73,-29.72,136.28,Cubic,267.73
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5297,MCKINNEY 1 2,1,Open,0,0,1.04,YES,YES,0.96,3.2,-0.36,1.63,Cubic,3.2
GENROU,GT (Gas Turbine),17.47,NG (Natural Gas),5298,MCKINNEY 1 3,1,Closed,114.68,58.53,1.04,YES,YES,34.5,115,-12.76,58.53,Cubic,115
GENROU,GT (Gas Turbine),17.47,NG (Natural Gas),5299,MCKINNEY 1 4,1,Closed,114.68,58.53,1.04,YES,YES,34.5,115,-12.76,58.53,Cubic,115
GENROU,GT (Gas Turbine),17.47,NG (Natural Gas),5300,MCKINNEY 1 5,1,Closed,114.68,58.53,1.04,YES,YES,34.5,115,-12.76,58.53,Cubic,115
GENROU,GT (Gas Turbine),17.22,NG (Natural Gas),5301,MCKINNEY 1 6,1,Closed,82.47,42.09,1.04,YES,YES,24.81,82.7,-9.18,42.09,Cubic,82.7
GENROU,GT (Gas Turbine),20.16,NG (Natural Gas),5302,MCKINNEY 1 7,1,Closed,462.46,175.61,1.04,YES,YES,139.13,463.75,-51.48,236.05,Cubic,463.75
GENROU,GT (Gas Turbine),20.16,NG (Natural Gas),5303,MCKINNEY 1 8,1,Closed,462.46,229.47,1.04,YES,YES,139.13,463.75,-51.48,236.05,Cubic,463.75
GENROU,GT (Gas Turbine),19.82,NG (Natural Gas),5319,GRANBURY 1 2,1,Closed,79.86,9.76,1.01,YES,YES,78.84,262.8,-29.17,133.77,Cubic,262.8
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5320,GRANBURY 1 3,1,Open,0,0,1.01,YES,YES,78.84,262.8,-29.17,133.77,Cubic,262.8
GENROU,GT (Gas Turbine),19.82,NG (Natural Gas),5321,GRANBURY 1 4,1,Closed,79.86,10.07,1.01,YES,YES,78.84,262.8,-29.17,133.77,Cubic,262.8
GENROU,GT (Gas Turbine),17.16,NG (Natural Gas),5324,DALLAS 2 2,1,Closed,283.28,144.59,1.04,YES,YES,85.22,284.07,-31.53,144.59,Cubic,284.07
GENROU,GT (Gas Turbine),17.16,NG (Natural Gas),5325,DALLAS 2 3,1,Closed,283.28,144.59,1.04,YES,YES,85.22,284.07,-31.53,144.59,Cubic,284.07
GENROU,GT (Gas Turbine),17.16,NG (Natural Gas),5326,DALLAS 2 4,1,Closed,283.28,144.59,1.04,YES,YES,85.22,284.07,-31.53,144.59,Cubic,284.07
GENSAL,HY (Hydro),0,WAT (Water),5342,LEWISVILLE 1 1,1,Closed,8.4,3.2,1.04,NO,YES,0,8.4,-0.14,3.2,Cubic,2.8
GENSAL,HY (Hydro),0,WAT (Water),5343,LEWISVILLE 1 2,1,Closed,207.5,69.11,1.04,NO,YES,0,207.5,-3.43,79.67,Cubic,70
GENROU,ST (Steam Turbine),22.62,BIT (Bituminous Coal),5360,RIESEL 1 2,1,Closed,1005.19,-25.85,1.01,YES,YES,302.4,1008,-122.98,469.73,Cubic,1008
GENROU,GT (Gas Turbine),16.02,NG (Natural Gas),5363,BRIDGEPORT 2,1,Closed,10.37,-1.15,1,YES,YES,3.12,10.4,-1.15,5.29,Cubic,10.4
GENROU,GT (Gas Turbine),17.52,NG (Natural Gas),5364,BRIDGEPORT 3,1,Closed,212.73,-22.03,1,YES,YES,64,213.33,-23.68,108.59,Cubic,213.33
GENROU,GT (Gas Turbine),17.52,NG (Natural Gas),5365,BRIDGEPORT 4,1,Closed,212.73,-8.45,1,YES,YES,64,213.33,-23.68,108.59,Cubic,213.33
GENROU,GT (Gas Turbine),17.52,NG (Natural Gas),5366,BRIDGEPORT 5,1,Closed,212.73,-7.41,1,YES,YES,64,213.33,-23.68,108.59,Cubic,213.33
GENROU,GT (Gas Turbine),17.52,NG (Natural Gas),5367,BRIDGEPORT 6,1,Closed,212.73,-7.26,1,YES,YES,64,213.33,-23.68,108.59,Cubic,213.33
GENROU,GT (Gas Turbine),17.52,NG (Natural Gas),5368,BRIDGEPORT 7,1,Closed,212.73,-13.71,1,YES,YES,64,213.33,-23.68,108.59,Cubic,213.33
GENROU,GT (Gas Turbine),17.52,NG (Natural Gas),5369,BRIDGEPORT 8,1,Closed,212.73,-6.79,1,YES,YES,64,213.33,-23.68,108.59,Cubic,213.33
GENROU,GT (Gas Turbine),16.25,NG (Natural Gas),5382,ENNIS 2,1,Closed,63.51,106.38,1.04,YES,YES,62.7,209,-23.2,106.38,Cubic,209
GENROU,GT (Gas Turbine),16.25,NG (Natural Gas),5383,ENNIS 3,1,Closed,63.51,106.38,1.04,YES,YES,62.7,209,-23.2,106.38,Cubic,209
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),5399,ALBANY 1 5,1,Closed,124.2,35.27,1.04,NO,YES,49.68,165.6,-23.85,35.27,Cubic,165.6
GENROU,GT (Gas Turbine),16.6,NG (Natural Gas),5403,GRANBURY 2 2,1,Closed,89.15,45.5,1.03,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),16.57,NG (Natural Gas),5404,GRANBURY 2 3,1,Closed,77.23,45.5,1.03,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),16.59,NG (Natural Gas),5405,GRANBURY 2 4,1,Closed,84.77,45.5,1.03,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),16.6,NG (Natural Gas),5406,GRANBURY 2 5,1,Closed,89.15,45.5,1.03,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),16.84,NG (Natural Gas),5415,PALO PINTO 1 2,1,Closed,121.66,-11.4,1,YES,YES,36.6,122,-13.54,62.1,Cubic,122
GENROU,GT (Gas Turbine),16.84,NG (Natural Gas),5416,PALO PINTO 1 3,1,Closed,121.66,-10.89,1,YES,YES,36.6,122,-13.54,62.1,Cubic,122
GENROU,GT (Gas Turbine),16.84,NG (Natural Gas),5417,PALO PINTO 1 4,1,Closed,121.66,-12.52,1,YES,YES,36.6,122,-13.54,62.1,Cubic,122
GENROU,GT (Gas Turbine),16.82,NG (Natural Gas),5418,PALO PINTO 1 5,1,Closed,118.47,-13.19,1,YES,YES,35.64,118.8,-13.19,60.47,Cubic,118.8
GENROU,GT (Gas Turbine),16.82,NG (Natural Gas),5419,PALO PINTO 1 6,1,Closed,118.47,-13.19,1,YES,YES,35.64,118.8,-13.19,60.47,Cubic,118.8
GENROU,GT (Gas Turbine),16.03,NG (Natural Gas),5423,LEWSIVILLE 1,1,Closed,12.37,-1.38,1,YES,YES,3.72,12.4,-1.38,6.31,Cubic,12.4
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5424,LEWSIVILLE 2,1,Open,0,0,1,YES,YES,0.96,3.2,-0.36,1.63,Cubic,3.2
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5444,MIDLOTHIAN 1 0,1,Open,0,0,1.01,YES,YES,86.7,289,-32.08,147.1,Cubic,289
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5444,MIDLOTHIAN 1 0,2,Open,0,0,1.01,YES,YES,86.7,289,-32.08,147.1,Cubic,289
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5444,MIDLOTHIAN 1 0,3,Open,0,0,1.01,YES,YES,86.7,289,-32.08,147.1,Cubic,289
GENROU,GT (Gas Turbine),20.62,NG (Natural Gas),5444,MIDLOTHIAN 1 0,4,Closed,288.19,19.06,1.01,YES,YES,86.7,289,-32.08,147.1,Cubic,289
GENROU,GT (Gas Turbine),20.62,NG (Natural Gas),5444,MIDLOTHIAN 1 0,5,Closed,288.19,19.06,1.01,YES,YES,86.7,289,-32.08,147.1,Cubic,289
GENROU,GT (Gas Turbine),0,NG (Natural Gas),5444,MIDLOTHIAN 1 0,6,Open,0,0,1.01,YES,YES,86.7,289,-32.08,147.1,Cubic,289
GENROU,GT (Gas Turbine),19.37,NG (Natural Gas),5444,MIDLOTHIAN 1 0,7,Closed,140.91,19.06,1.01,YES,YES,42.39,141.3,-15.68,71.92,Cubic,141.3
GENROU,GT (Gas Turbine),19.37,NG (Natural Gas),5444,MIDLOTHIAN 1 0,8,Closed,140.91,19.06,1.01,YES,YES,42.39,141.3,-15.68,71.92,Cubic,141.3
GENROU,GT (Gas Turbine),18.2,NG (Natural Gas),6006,BASTROP 3,1,Closed,212.41,77.37,1.04,YES,YES,63.9,213,-23.64,108.42,Cubic,213
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6007,BASTROP 4,1,Open,0,0,1.04,YES,YES,127.8,426,-47.29,216.83,Cubic,426
GENROU,GT (Gas Turbine),18.09,NG (Natural Gas),6008,BASTROP 5,1,Closed,197.78,67.78,1.04,YES,YES,59.5,198.33,-22.01,100.95,Cubic,198.33
GENROU,GT (Gas Turbine),18.09,NG (Natural Gas),6009,BASTROP 6,1,Closed,197.78,42.18,1.04,YES,YES,59.5,198.33,-22.01,100.95,Cubic,198.33
GENROU,GT (Gas Turbine),18.09,NG (Natural Gas),6010,BASTROP 7,1,Closed,197.78,57.22,1.04,YES,YES,59.5,198.33,-22.01,100.95,Cubic,198.33
GENSAL,HY (Hydro),0,WAT (Water),6041,AUSTIN 3 3,1,Closed,0,20.48,1.04,NO,YES,0,53.4,-0.88,20.48,Cubic,18
GENSAL,HY (Hydro),0,WAT (Water),6042,AUSTIN 3 4,1,Closed,0,54.26,1.04,NO,YES,0,320.2,-5.29,122.91,Cubic,108
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6048,SAN ANTONIO 2 3,1,Open,0,0,1.04,YES,YES,1.02,3.4,-0.38,1.73,Cubic,3.4
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6049,SAN ANTONIO 2 4,1,Open,0,0,1.04,YES,YES,2.88,9.6,-1.07,4.89,Cubic,9.6
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6050,SAN ANTONIO 2 5,1,Open,0,0,1.04,YES,YES,1.32,4.4,-0.49,2.24,Cubic,4.4
GENROU,GT (Gas Turbine),15.78,NG (Natural Gas),6051,SAN ANTONIO 2 6,1,Closed,57.24,29.22,1.04,YES,YES,17.22,57.4,-6.37,29.22,Cubic,57.4
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6052,SAN ANTONIO 2 7,1,Open,0,0,1.04,YES,YES,17.22,57.4,-6.37,29.22,Cubic,57.4
GENROU,GT (Gas Turbine),15.78,NG (Natural Gas),6053,SAN ANTONIO 2 8,1,Closed,57.24,29.22,1.04,YES,YES,17.22,57.4,-6.37,29.22,Cubic,57.4
GENROU,GT (Gas Turbine),15.78,NG (Natural Gas),6054,SAN ANTONIO 2 9,1,Closed,57.24,29.22,1.04,YES,YES,17.22,57.4,-6.37,29.22,Cubic,57.4
GENROU,GT (Gas Turbine),17.8,NG (Natural Gas),6069,MARION 1 3,1,Closed,123.82,49.23,1.03,YES,YES,54.41,181.37,-20.13,92.32,Cubic,181.37
GENROU,GT (Gas Turbine),17.82,NG (Natural Gas),6070,MARION 1 4,1,Closed,131.29,21.36,1.03,YES,YES,54.41,181.37,-20.13,92.32,Cubic,181.37
GENROU,GT (Gas Turbine),17.75,NG (Natural Gas),6071,MARION 1 5,1,Closed,105.9,62.98,1.03,YES,YES,54.41,181.37,-20.13,92.32,Cubic,181.37
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6072,MARION 1 6,1,Open,0,0,1.03,YES,YES,54.41,181.37,-20.13,92.32,Cubic,181.37
GENROU,GT (Gas Turbine),17.82,NG (Natural Gas),6073,MARION 1 7,1,Closed,131.29,37.32,1.03,YES,YES,54.41,181.37,-20.13,92.32,Cubic,181.37
GENROU,GT (Gas Turbine),17.82,NG (Natural Gas),6074,MARION 1 8,1,Closed,131.29,36.8,1.03,YES,YES,54.41,181.37,-20.13,92.32,Cubic,181.37
GENROU,ST (Steam Turbine),19.37,BIT (Bituminous Coal),6078,LA GRANGE 3,1,Closed,477.3,-68.73,1,YES,YES,169,563.33,-68.73,262.51,Cubic,563.33
GENROU,ST (Steam Turbine),18.82,BIT (Bituminous Coal),6079,LA GRANGE 4,1,Closed,328.92,-68.73,1,YES,YES,169,563.33,-68.73,262.51,Cubic,563.33
GENROU,ST (Steam Turbine),18.82,BIT (Bituminous Coal),6080,LA GRANGE 5,1,Closed,328.92,-68.73,1,YES,YES,169,563.33,-68.73,262.51,Cubic,563.33
GENSAL,HY (Hydro),0,WAT (Water),6082,MARBLE FALLS 1 1,1,Closed,41.37,17.29,1.04,NO,YES,0,65.3,-1.08,25.04,Cubic,22
GENSAL,HY (Hydro),0,WAT (Water),6083,MARBLE FALLS 1 2,1,Closed,65.3,11.97,1.04,NO,YES,0,65.3,-1.08,25.04,Cubic,22
,PV (Photovoltaic),0,SUN (Solar),6085,ROUND ROCK 1 1,1,Closed,1.05,0,1.04,NO,YES,0.42,1.4,0,0,Cubic,1.4
,PV (Photovoltaic),0,SUN (Solar),6086,ROUND ROCK 1 2,1,Closed,22.5,0,1.04,NO,YES,9,30,0,0,Cubic,30
,PV (Photovoltaic),0,SUN (Solar),6087,ROUND ROCK 1 3,1,Open,0,0,1.04,NO,YES,1.65,5.5,0,0,Cubic,5.5
,PV (Photovoltaic),0,SUN (Solar),6088,ROUND ROCK 1 4,1,Closed,7.95,0,1.04,NO,YES,3.18,10.6,0,0,Cubic,10.6
,PV (Photovoltaic),0,SUN (Solar),6089,ROUND ROCK 1 5,1,Closed,10.42,0,1.04,NO,YES,4.17,13.9,0,0,Cubic,13.9
,PV (Photovoltaic),0,SUN (Solar),6090,ROUND ROCK 1 6,1,Closed,30.52,0,1.04,NO,YES,12.21,40.7,0,0,Cubic,40.7
GENROU,GT (Gas Turbine),17.03,NG (Natural Gas),6104,WINCHESTER 3,1,Closed,60.33,30.79,1.04,YES,YES,18.15,60.5,-6.72,30.79,Cubic,60.5
GENROU,GT (Gas Turbine),17.03,NG (Natural Gas),6105,WINCHESTER 4,1,Closed,60.33,30.79,1.04,YES,YES,18.15,60.5,-6.72,30.79,Cubic,60.5
GENROU,GT (Gas Turbine),17.49,NG (Natural Gas),6106,WINCHESTER 5,1,Closed,120.66,61.59,1.04,YES,YES,36.3,121,-13.43,61.59,Cubic,121
GENROU,ST (Steam Turbine),18.71,BIT (Bituminous Coal),6110,ROCKDALE 1 3,1,Closed,301.18,100.76,1.04,YES,YES,177.18,590.6,-72.05,275.22,Cubic,590.6
GENROU,ST (Steam Turbine),18.68,BIT (Bituminous Coal),6111,ROCKDALE 1 4,1,Closed,293.63,101.78,1.04,YES,YES,198.45,661.5,-80.7,308.26,Cubic,661.5
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6144,SAN ANTONIO 1 3,1,Open,0,0,1.03,YES,YES,2.52,8.4,-0.93,4.28,Cubic,8.4
GENROU,GT (Gas Turbine),18.24,NG (Natural Gas),6145,SAN ANTONIO 1 4,1,Closed,322.85,38.03,1.03,YES,YES,133.8,446,-49.51,227.01,Cubic,446
GENROU,GT (Gas Turbine),18.24,NG (Natural Gas),6146,SAN ANTONIO 1 5,1,Closed,322.85,39.39,1.03,YES,YES,133.8,446,-49.51,227.01,Cubic,446
GENROU,GT (Gas Turbine),20.33,NG (Natural Gas),6147,SAN ANTONIO 1 6,1,Closed,283.22,42.7,1.03,YES,YES,279.6,932,-103.45,474.39,Cubic,932
GENROU,GT (Gas Turbine),0,NG (Natural Gas),6148,SAN ANTONIO 1 7,1,Open,0,0,1.03,YES,YES,216.6,722,-80.14,367.5,Cubic,722
GENROU,GT (Gas Turbine),19.21,NG (Natural Gas),6149,SAN ANTONIO 1 8,1,Closed,219.4,127.84,1.03,YES,YES,216.6,722,-80.14,367.5,Cubic,722
GENROU,GT (Gas Turbine),17.91,NG (Natural Gas),6164,SEGUIN 1 3,1,Closed,71.43,38.3,1.03,YES,YES,70.52,235.05,-26.09,119.64,Cubic,235.05
GENROU,GT (Gas Turbine),17.91,NG (Natural Gas),6165,SEGUIN 1 4,1,Closed,71.43,33.99,1.03,YES,YES,70.52,235.05,-26.09,119.64,Cubic,235.05
GENROU,GT (Gas Turbine),17.91,NG (Natural Gas),6166,SEGUIN 1 5,1,Closed,71.43,82,1.03,YES,YES,70.52,235.05,-26.09,119.64,Cubic,235.05
GENROU,GT (Gas Turbine),17.91,NG (Natural Gas),6167,SEGUIN 1 6,1,Closed,71.43,43.72,1.03,YES,YES,70.52,235.05,-26.09,119.64,Cubic,235.05
