wkt_geom,name,Number,Substation Longitude,Substation Latitude
PointZ (-97.35516499999999951 27.65135364974560161 0),CORPUS CHRISTI 7 0,4123,-97.355165,27.65135365
PointZ (-98.20721299999999587 26.86767218286039949 0),FALFURRIAS 0,4124,-98.207213,26.86767218
PointZ (-97.94800100000000498 28.53141203476669929 0),PETTUS 0,4125,-97.948001,28.53141203
PointZ (-97.43458200000000602 25.97437927878869957 0),BROWNSVILLE 3 0,4126,-97.434582,25.97437928
PointZ (-98.06672000000000367 27.65035382662560082 0),ALICE 0,4127,-98.06672,27.65035383
PointZ (-98.51263199999999642 26.57166043053420168 0),RIO GRANDE CITY 0,4128,-98.512632,26.57166043
PointZ (-98.48769199999999557 27.62325578306980134 0),PREMONT 0,4129,-98.487692,27.62325578
PointZ (-98.61996999999999503 27.8263672704602989 0),FREER 0,4130,-98.61997,27.82636727
PointZ (-99.07389999999999475 28.9070175632921007 0),PEARSALL 0,4131,-99.0739,28.90701756
PointZ (-99.05589999999999407 28.91647149297989827 0),PEARSALL 1,4132,-99.0559,28.91647149
PointZ (-99.07930000000000348 28.91001138237890089 0),PEARSALL 2,4133,-99.0793,28.91001138
PointZ (-99.07930000000000348 28.90685996627010113 0),PEARSALL 3,4134,-99.0793,28.90685997
PointZ (-99.07930000000000348 28.90370845444479997 0),PEARSALL 4,4135,-99.0793,28.90370845
PointZ (-99.07930000000000348 28.90055684690959836 0),PEARSALL 5,4136,-99.0793,28.90055685
PointZ (-99.07930000000000348 28.8974051436708983 0),PEARSALL 6,4137,-99.0793,28.89740514
PointZ (-99.07930000000000348 28.89425334473540019 0),PEARSALL 7,4138,-99.0793,28.89425334
PointZ (-97.95391499999999496 28.08204492629700155 0),SANDIA 0,4139,-97.953915,28.08204493
PointZ (-97.77116700000000549 27.21025032952480061 0),SARITA 1 0,4140,-97.771167,27.21025033
PointZ (-97.7531670000000048 27.21025032952480061 0),SARITA 1 1,4141,-97.753167,27.21025033
PointZ (-97.77656700000000001 27.20528772221380009 0),SARITA 1 2,4142,-97.776567,27.20528772
PointZ (-99.18218799999999646 28.69392270580869919 0),DILLEY 0,4143,-99.182188,28.69392271
PointZ (-98.05118699999999876 27.97670653294879983 0),ORANGE GROVE 0,4144,-98.051187,27.97670653
PointZ (-97.37523799999999596 27.8778130235358006 0),PORTLAND 0,4145,-97.375238,27.87781302
PointZ (-99.33979600000000687 27.36075467257050065 0),LAREDO 4 0,4146,-99.339796,27.36075467
PointZ (-99.32899600000000362 27.36235329284929918 0),LAREDO 4 1,4147,-99.328996,27.36235329
PointZ (-98.56418600000000652 28.29925349447389848 0),THREE RIVERS 0,4148,-98.564186,28.29925349
PointZ (-97.18788999999999589 28.10958777918920148 0),ROCKPORT 0,4149,-97.18789,28.10958778
PointZ (-97.47221999999999298 27.71254344891460164 0),CORPUS CHRISTI 15 0,4150,-97.47222,27.71254345
PointZ (-97.58140000000000214 26.98345687997780118 0),ARMSTRONG 1 0,4151,-97.5814,26.98345688
PointZ (-97.56340000000000146 26.98826891124789995 0),ARMSTRONG 1 1,4152,-97.5634,26.98826891
PointZ (-97.58679999999999666 26.97367174553809832 0),ARMSTRONG 1 2,4153,-97.5868,26.97367175
PointZ (-98.4671639999999968 26.31192635312239858 0),PENITAS 0,4154,-98.467164,26.31192635
PointZ (-98.55819099999999366 26.24081174072379952 0),SULLIVAN CITY 0,4155,-98.558191,26.24081174
PointZ (-97.32884500000000116 27.69241684403120018 0),CORPUS CHRISTI 6 0,4156,-97.328845,27.69241684
PointZ (-98.29097699999999804 26.28352349139159827 0),MISSION 2 0,4157,-98.290977,26.28352349
PointZ (-97.4462999999999937 27.80434734496460081 0),CORPUS CHRISTI 1 0,4158,-97.4463,27.80434734
PointZ (-97.42829999999999302 27.80753165664669879 0),CORPUS CHRISTI 1 1,4159,-97.4283,27.80753166
PointZ (-97.45170000000000243 27.80578028381080102 0),CORPUS CHRISTI 1 2,4160,-97.4517,27.80578028
PointZ (-97.45170000000000243 27.80259591503699923 0),CORPUS CHRISTI 1 3,4161,-97.4517,27.80259592
PointZ (-97.45170000000000243 27.79941145293920002 0),CORPUS CHRISTI 1 4,4162,-97.4517,27.79941145
PointZ (-97.45170000000000243 27.79622689752470066 0),CORPUS CHRISTI 1 5,4163,-97.4517,27.7962269
PointZ (-98.64582400000000462 26.26514244695280098 0),GRULLA 0,4164,-98.645824,26.26514245
PointZ (-97.5391000000000048 27.10848473949049975 0),SARITA 2 0,4165,-97.5391,27.10848474
PointZ (-97.52830000000000155 27.1100869867259 0),SARITA 2 1,4166,-97.5283,27.11008699
PointZ (-97.91249600000000441 26.46776741143499834 0),HARGILL 0,4167,-97.912496,26.46776741
PointZ (-97.4367950000000036 27.84062515837399943 0),CORPUS CHRISTI 14 0,4168,-97.436795,27.84062516
PointZ (-97.79903099999999938 28.09213197081630042 0),MATHIS 0,4169,-97.799031,28.09213197
PointZ (-97.08319600000000094 27.86348053837550154 0),ARANSAS PASS 0,4170,-97.083196,27.86348054
PointZ (-97.62029200000000628 26.09315437265059856 0),SAN BENITO 0,4171,-97.620292,26.09315437
PointZ (-98.41999599999999759 28.92475137363949855 0),PLEASANTON 0,4172,-98.419996,28.92475137
PointZ (-96.89005899999999372 28.28163663452690102 0),REFUGIO 0,4173,-96.890059,28.28163663
PointZ (-98.77309400000000039 29.19990804487549951 0),LYTLE 0,4174,-98.773094,29.19990804
PointZ (-99.11708500000000299 27.74059577243820129 0),LAREDO 2 0,4175,-99.117085,27.74059577
PointZ (-98.89447800000000655 27.56653750410140091 0),BRUNI 1 0,4176,-98.894478,27.5665375
PointZ (-98.88367800000000329 27.56653750410140091 0),BRUNI 1 1,4177,-98.883678,27.5665375
PointZ (-97.57023700000000588 28.55721150360130167 0),GOLIAD 0,4178,-97.570237,28.5572115
PointZ (-98.37677499999999498 27.84000847113610178 0),SAN DIEGO 0,4179,-98.376775,27.84000847
PointZ (-97.10598299999999483 27.76628840385910024 0),PORT ARANSAS 0,4180,-97.105983,27.7662884
PointZ (-97.28589999999999804 27.98467386118380062 0),TAFT 1 0,4181,-97.2859,27.98467386
PointZ (-97.27509999999999479 27.98626337824610033 0),TAFT 1 1,4182,-97.2751,27.98626338
PointZ (-97.68031100000000322 26.46399885819910125 0),SAN PERLITA 0,4183,-97.680311,26.46399886
PointZ (-97.66951099999999997 26.46238746364770122 0),SAN PERLITA 1,4184,-97.669511,26.46238746
PointZ (-99.15376500000000703 26.921299820591301 0),ZAPATA 0,4185,-99.153765,26.92129982
PointZ (-97.78589200000000403 26.33396514201950112 0),SANTA ROSA 2 0,4186,-97.785892,26.33396514
PointZ (-99.20534399999999664 28.28366281551150152 0),COTULLA 0,4187,-99.205344,28.28366282
PointZ (-100.58438599999999497 28.94172222314929854 0),QUEMADO 0,4188,-100.584386,28.94172222
PointZ (-99.49948000000000548 28.51383194590430037 0),CARRIZO SPRINGS 0,4189,-99.49948,28.51383195
PointZ (-99.4313889999999958 27.53423171814679904 0),LAREDO 5 0,4190,-99.431389,27.53423172
PointZ (-97.43333099999999547 26.55642801476729886 0),RAYMONDVILLE 0,4191,-97.433331,26.55642801
PointZ (-97.51059999999999661 25.89367013299720099 0),BROWNSVILLE 1 0,4192,-97.5106,25.89367013
PointZ (-97.49979999999999336 25.90014710696110001 0),BROWNSVILLE 1 1,4193,-97.4998,25.90014711
PointZ (-97.65779999999999461 26.32956247574340125 0),SEBASTIAN 1 0,4194,-97.6578,26.32956248
PointZ (-98.99447800000000086 27.47847483266729895 0),OILTON 0,4195,-98.994478,27.47847483
PointZ (-98.98367799999999761 27.47687789234510092 0),OILTON 1,4196,-98.983678,27.47687789
PointZ (-98.99447800000000086 27.46889282620140094 0),OILTON 2,4197,-98.994478,27.46889283
PointZ (-96.67123800000000244 32.90747077726280168 0),GARLAND 5 0,5003,-96.671238,32.90747078
PointZ (-96.32063200000000336 32.14912147104750062 0),KERENS 0,5004,-96.320632,32.14912147
PointZ (-97.99984899999999755 32.51790865349560278 0),LIPAN 0,5005,-97.999849,32.51790865
PointZ (-96.79373400000000061 32.96365829893500177 0),DALLAS 24 0,5006,-96.793734,32.9636583
PointZ (-97.1062819999999931 33.22795540957490346 0),DENTON 4 0,5007,-97.106282,33.22795541
PointZ (-99.23283999999999594 32.77953806277700011 0),ALBANY 2 0,5008,-99.23284,32.77953806
PointZ (-96.78675900000000354 32.86065354121900128 0),DALLAS 21 0,5009,-96.786759,32.86065354
PointZ (-96.66956399999999405 33.0267318583810976 0),PLANO 2 0,5010,-96.669564,33.02673186
PointZ (-96.59995200000000182 31.2903593580393995 0),THORNTON 0,5011,-96.599952,31.29035936
PointZ (-97.14243799999999851 33.21735997186299727 0),DENTON 5 0,5012,-97.142438,33.21735997
PointZ (-98.79613399999999501 31.8318606750116011 0),EARLY 0,5013,-98.796134,31.83186068
PointZ (-97.50517800000000079 33.26728936911369772 0),DECATUR 0,5014,-97.505178,33.26728937
PointZ (-97.27959400000000301 32.92320219341910104 0),KELLER 2 0,5015,-97.279594,32.92320219
PointZ (-97.27527399999999602 32.92259782456749662 0),KELLER 2 1,5016,-97.275274,32.92259782
PointZ (-97.30802799999999309 33.19448654714629754 0),PONDER 0,5017,-97.308028,33.19448655
PointZ (-98.31965200000000493 33.05439297977120106 0),JACKSBORO 1 0,5018,-98.319652,33.05439298
PointZ (-98.30165200000000425 33.06042746467500137 0),JACKSBORO 1 1,5019,-98.301652,33.06042746
PointZ (-98.32505199999999945 33.04820718028069848 0),JACKSBORO 1 2,5020,-98.325052,33.04820718
PointZ (-97.507000000000005 32.71575388973160159 0),ALEDO 1 0,5021,-97.507,32.71575389
PointZ (-97.49979999999999336 32.71454232211630142 0),ALEDO 1 1,5022,-97.4998,32.71454232
PointZ (-97.50915999999999428 32.71387594579019975 0),ALEDO 1 2,5023,-97.50916,32.71387595
PointZ (-97.74660400000000493 31.406502629634101 0),GATESVILLE 4 0,5024,-97.746604,31.40650263
PointZ (-97.49935600000000591 32.26448729057929654 0),CLEBURNE 2 0,5025,-97.499356,32.26448729
PointZ (-97.33150600000000452 32.63478479321130266 0),FORT WORTH 14 0,5026,-97.331506,32.63478479
PointZ (-97.41301500000000146 32.66245599582399706 0),FORT WORTH 23 0,5027,-97.413015,32.662456
PointZ (-97.04508099999999615 32.81913751508930233 0),FORT WORTH 1 0,5028,-97.045081,32.81913752
PointZ (-97.25625300000000095 31.18666622076170114 0),TROY 0,5029,-97.256253,31.18666622
PointZ (-97.69299999999999784 32.84943884930140001 0),SPRINGTOWN 0,5030,-97.693,32.84943885
PointZ (-96.47955699999999979 33.14813011492660166 0),PRINCETON 0,5031,-96.479557,33.14813011
PointZ (-96.79908100000000104 32.74137271159649742 0),DALLAS 27 0,5032,-96.799081,32.74137271
PointZ (-96.63724399999999548 32.6395170038429967 0),DALLAS 1 0,5033,-96.637244,32.639517
PointZ (-96.63004399999999805 32.64376098173750052 0),DALLAS 1 1,5034,-96.630044,32.64376098
PointZ (-96.63940399999999897 32.64188152352559769 0),DALLAS 1 2,5035,-96.639404,32.64188152
PointZ (-96.63940399999999897 32.6406689512878998 0),DALLAS 1 3,5036,-96.639404,32.64066895
PointZ (-96.63940399999999897 32.63945636261269811 0),DALLAS 1 4,5037,-96.639404,32.63945636
PointZ (-96.63940399999999897 32.63824375750009921 0),DALLAS 1 5,5038,-96.639404,32.63824376
PointZ (-96.63940399999999897 32.63703113595089889 0),DALLAS 1 6,5039,-96.639404,32.63703114
PointZ (-96.63940399999999897 32.63581849796499768 0),DALLAS 1 7,5040,-96.639404,32.6358185
PointZ (-96.63940399999999897 32.63460584354299954 0),DALLAS 1 8,5041,-96.639404,32.63460584
PointZ (-96.63940399999999897 32.63339317268489737 0),DALLAS 1 9,5042,-96.639404,32.63339317
PointZ (-96.37172499999999786 32.94187763473699704 0),ROYSE CITY 0,5043,-96.371725,32.94187763
PointZ (-97.5934830000000062 33.03711342731229905 0),BOYD 0,5044,-97.593483,33.03711343
PointZ (-98.18591700000000344 32.26853805467300162 0),STEPHENVILLE 0,5045,-98.185917,32.26853805
PointZ (-98.17511700000000019 32.27310392921820181 0),STEPHENVILLE 1,5046,-98.175117,32.27310393
PointZ (-97.18405400000000327 32.49911515307400123 0),MANSFIELD 0,5047,-97.184054,32.49911515
PointZ (-97.17973399999999629 32.49911515307400123 0),MANSFIELD 1,5048,-97.179734,32.49911515
PointZ (-96.10840000000000316 33.15563192563840289 0),GREENVILLE 1 0,5049,-96.1084,33.15563193
PointZ (-96.09040000000000248 33.16165946175839707 0),GREENVILLE 1 1,5050,-96.0904,33.16165946
PointZ (-96.11379999999999768 33.14794618764430112 0),GREENVILLE 1 2,5051,-96.1138,33.14794619
PointZ (-96.09040000000000248 33.15261798586840314 0),GREENVILLE 1 3,5052,-96.0904,33.15261799
PointZ (-96.73640799999999729 33.08525906786420023 0),PLANO 4 0,5053,-96.736408,33.08525907
PointZ (-96.51101300000000549 31.49384733930530089 0),GROESBECK 0,5054,-96.511013,31.49384734
PointZ (-98.59369999999999834 33.12234075675330303 0),GRAHAM 0,5055,-98.5937,33.12234076
PointZ (-98.57569999999999766 33.12535572012239982 0),GRAHAM 1,5056,-98.5757,33.12535572
PointZ (-98.59910000000000707 33.12068247050520142 0),GRAHAM 2,5057,-98.5991,33.12068247
PointZ (-98.59910000000000707 33.11766734123570188 0),GRAHAM 3,5058,-98.5991,33.11766734
PointZ (-96.09453200000000095 32.26862747866530157 0),MABANK 2 0,5059,-96.094532,32.26862748
PointZ (-96.0837319999999977 32.26862747866530157 0),MABANK 2 1,5060,-96.083732,32.26862748
PointZ (-96.09453200000000095 32.25949503282029696 0),MABANK 2 2,5061,-96.094532,32.25949503
PointZ (-96.0837319999999977 32.26101716818830312 0),MABANK 2 3,5062,-96.083732,32.26101717
PointZ (-97.13488999999999862 32.76722275507260207 0),ARLINGTON 1 0,5063,-97.13489,32.76722276
PointZ (-97.12769000000000119 32.76843360660730298 0),ARLINGTON 1 1,5064,-97.12769,32.76843361
PointZ (-97.13705000000000211 32.7671622027545979 0),ARLINGTON 1 2,5065,-97.13705,32.7671622
PointZ (-97.13705000000000211 32.76595133173510277 0),ARLINGTON 1 3,5066,-97.13705,32.76595133
PointZ (-97.13705000000000211 32.76474044424529808 0),ARLINGTON 1 4,5067,-97.13705,32.76474044
PointZ (-97.13705000000000211 32.76352954028529751 0),ARLINGTON 1 5,5068,-97.13705,32.76352954
PointZ (-97.13705000000000211 32.76231861985549898 0),ARLINGTON 1 6,5069,-97.13705,32.76231862
PointZ (-96.87523099999999943 32.77761391453869777 0),DALLAS 41 0,5070,-96.875231,32.77761391
PointZ (-97.11824900000000582 31.56762261228119826 0),WACO 3 0,5071,-97.118249,31.56762261
PointZ (-96.78461299999999312 32.98891855491640257 0),DALLAS 19 0,5072,-96.784613,32.98891855
PointZ (-99.14237400000000378 31.69701540501930026 0),BANGS 0,5073,-99.142374,31.69701541
PointZ (-96.80438900000000046 33.23768662888689818 0),PROSPER 0,5074,-96.804389,33.23768663
PointZ (-98.0400810000000007 31.54470435130020078 0),EVANT 0,5075,-98.040081,31.54470435
PointZ (-96.15836600000000089 32.7309003505516003 0),TERRELL 1 0,5076,-96.158366,32.73090035
PointZ (-96.14756599999999764 32.72938614568860061 0),TERRELL 1 1,5077,-96.147566,32.72938615
PointZ (-96.98651900000000126 33.26983714097529798 0),AUBREY 0,5078,-96.986519,33.26983714
PointZ (-97.14398300000000575 31.50301370584810101 0),WACO 4 0,5079,-97.143983,31.50301371
PointZ (-97.19349499999999864 31.25787363171659905 0),LORENA 0,5080,-97.193495,31.25787363
PointZ (-97.75204700000000457 31.13285739037079836 0),FORT HOOD 0,5081,-97.752047,31.13285739
PointZ (-97.0829169999999948 32.68786331304089998 0),ARLINGTON 5 0,5082,-97.082917,32.68786331
PointZ (-96.69195000000000562 33.16721157039150114 0),MCKINNEY 3 0,5083,-96.69195,33.16721157
PointZ (-96.68762999999999863 33.16781426304989822 0),MCKINNEY 3 1,5084,-96.68763,33.16781426
PointZ (-96.86945599999999956 32.66198120178510322 0),DALLAS 38 0,5085,-96.869456,32.6619812
PointZ (-97.15142799999999568 32.71448182061330101 0),ARLINGTON 9 0,5086,-97.151428,32.71448182
PointZ (-96.98346999999999696 32.12684303411720066 0),MILFORD 0,5087,-96.98347,32.12684303
PointZ (-97.35769999999999413 31.85869878935800159 0),CLIFTON 1 0,5088,-97.3577,31.85869879
PointZ (-97.36310000000000286 31.85548817479639894 0),CLIFTON 1 1,5089,-97.3631,31.85548817
PointZ (-96.76759099999999592 32.82643891297220051 0),DALLAS 15 0,5090,-96.767591,32.82643891
PointZ (-96.79893199999999354 32.02953149480720185 0),FROST 0,5091,-96.798932,32.02953149
PointZ (-97.15716000000000463 32.2766618871158002 0),GRANDVIEW 0,5092,-97.15716,32.27666189
PointZ (-97.3736549999999994 32.98179239743490143 0),HASLET 0,5093,-97.373655,32.9817924
PointZ (-96.74382699999999602 32.20198477769719858 0),BARDWELL 0,5094,-96.743827,32.20198478
PointZ (-97.00186899999999923 33.10673240907320292 0),LAKE DALLAS 0,5095,-97.001869,33.10673241
PointZ (-96.61188199999999426 33.01575586374020332 0),PLANO 1 0,5096,-96.611882,33.01575586
PointZ (-97.08772299999999689 32.80926597727380312 0),EULESS 2 0,5097,-97.087723,32.80926598
PointZ (-97.41697499999999366 32.57761108304300279 0),FORT WORTH 24 0,5098,-97.416975,32.57761108
PointZ (-97.12130600000000413 33.03126830432449879 0),FLOWER MOUND 2 0,5099,-97.121306,33.0312683
PointZ (-96.74276199999999903 32.76397527305400104 0),DALLAS 11 0,5100,-96.742762,32.76397527
PointZ (-98.60555300000000045 31.8819307684447999 0),COMANCHE 0,5101,-98.605553,31.88193077
PointZ (-96.73775999999999442 32.97183485597459907 0),RICHARDSON 2 0,5102,-96.73776,32.97183486
PointZ (-96.73344000000000165 32.96941868528990227 0),RICHARDSON 2 1,5103,-96.73344,32.96941869
PointZ (-97.27133399999999597 32.61217407421540315 0),FORT WORTH 8 0,5104,-97.271334,32.61217407
PointZ (-96.98579999999999757 32.91376028137450049 0),IRVING 1 0,5105,-96.9858,32.91376028
PointZ (-96.98796000000000106 32.91249095950480097 0),IRVING 1 1,5106,-96.98796,32.91249096
PointZ (-96.98796000000000106 32.91128206919429999 0),IRVING 1 2,5107,-96.98796,32.91128207
PointZ (-96.96102199999999982 32.62940722423650186 0),DALLAS 44 0,5108,-96.961022,32.62940722
PointZ (-96.74856099999999515 32.55910302130880041 0),LANCASTER 1 0,5109,-96.748561,32.55910302
PointZ (-98.26787899999999354 32.75501375860329745 0),PALO PINTO 2 0,5110,-98.267879,32.75501376
PointZ (-96.83492200000000594 32.95521394336110177 0),ADDISON 0,5111,-96.834922,32.95521394
PointZ (-97.87359999999999616 31.98926850253650045 0),HICO 0,5112,-97.8736,31.9892685
PointZ (-97.29870900000000233 33.27460941003410255 0),KRUM 0,5113,-97.298709,33.27460941
PointZ (-96.24610300000000507 32.55818178460449985 0),KAUFMAN 0,5114,-96.246103,32.55818178
PointZ (-96.21853400000000534 33.06266359522849996 0),CADDO MILLS 0,5115,-96.218534,33.0626636
PointZ (-96.80800700000000347 33.02939600436660328 0),PLANO 7 0,5116,-96.808007,33.029396
PointZ (-97.25902499999999407 32.68751124101979855 0),FORT WORTH 5 0,5117,-97.259025,32.68751124
PointZ (-99.18927200000000255 32.33050592153350067 0),BAIRD 0,5118,-99.189272,32.33050592
PointZ (-98.0446539999999942 33.0059264367979992 0),PERRIN 0,5119,-98.044654,33.00592644
PointZ (-99.02209100000000319 31.73758775401649856 0),BROWNWOOD 0,5120,-99.022091,31.73758775
PointZ (-99.01129099999999994 31.73911857776019829 0),BROWNWOOD 1,5121,-99.011291,31.73911858
PointZ (-96.69897400000000687 32.8377524484665031 0),DALLAS 6 0,5122,-96.698974,32.83775245
PointZ (-96.80343899999999735 31.19469560604470004 0),MARLIN 0,5123,-96.803439,31.19469561
PointZ (-96.7926389999999941 31.19315585431590065 0),MARLIN 1,5124,-96.792639,31.19315585
PointZ (-97.09645199999999932 32.77768798777459835 0),ARLINGTON 6 0,5125,-97.096452,32.77768799
PointZ (-96.73303699999999594 32.90840182175919892 0),DALLAS 8 0,5126,-96.733037,32.90840182
PointZ (-97.79542600000000618 31.75829014978999965 0),JONESBORO 0,5127,-97.795426,31.75829015
PointZ (-96.83601299999999412 32.74890221527810041 0),DALLAS 33 0,5128,-96.836013,32.74890222
PointZ (-98.53771700000000067 31.6181606032637994 0),GOLDTHWAITE 2 0,5129,-98.537717,31.6181606
PointZ (-96.73795800000000611 33.01643829442910061 0),PLANO 5 0,5130,-96.737958,33.01643829
PointZ (-97.48910899999999913 31.04089294691999967 0),BELTON 0,5131,-97.489109,31.04089295
PointZ (-97.47830899999999588 31.04243517072249858 0),BELTON 1,5132,-97.478309,31.04243517
PointZ (-97.91535399999999356 32.35352603316150066 0),TOLAR 0,5133,-97.915354,32.35352603
PointZ (-98.88346599999999853 32.79519385890309735 0),BRECKENRIDGE 0,5134,-98.883466,32.79519386
PointZ (-98.65501999999999327 32.48524716090660291 0),EASTLAND 0,5135,-98.65502,32.48524716
PointZ (-95.74846100000000604 33.45320764156569737 0),COOPER 0,5136,-95.748461,33.45320764
PointZ (-97.07305399999999906 31.46645964323320044 0),WACO 1 0,5137,-97.073054,31.46645964
PointZ (-97.06225399999999581 31.46492433083150075 0),WACO 1 1,5138,-97.062254,31.46492433
PointZ (-96.88812099999999816 32.91895832635270125 0),DALLAS 42 0,5139,-96.888121,32.91895833
PointZ (-97.69788400000000195 31.47720570083500036 0),GATESVILLE 1 0,5140,-97.697884,31.4772057
PointZ (-96.37487900000000707 33.31812413956580343 0),ANNA 0,5141,-96.374879,33.31812414
PointZ (-97.38106100000000254 31.27431750875350147 0),MOODY 0,5142,-97.381061,31.27431751
PointZ (-97.17736299999999972 32.76986108211430349 0),FORT WORTH 2 0,5143,-97.177363,32.76986108
PointZ (-97.20689299999999378 31.61792658013600033 0),WACO 6 0,5144,-97.206893,31.61792658
PointZ (-96.99286200000000235 32.72398864844610245 0),GRAND PRAIRIE 1 0,5145,-96.992862,32.72398865
PointZ (-96.55276700000000289 32.93142982894689652 0),ROWLETT 2 0,5146,-96.552767,32.93142983
PointZ (-96.79908600000000263 33.07119861929260196 0),PLANO 6 0,5147,-96.799086,33.07119862
PointZ (-96.99313499999999522 32.86999528816990335 0),IRVING 5 0,5148,-96.993135,32.86999529
PointZ (-96.70421899999999482 32.87426419098760277 0),DALLAS 7 0,5149,-96.704219,32.87426419
PointZ (-98.37337399999999832 33.26589135457759738 0),BRYSON 2 0,5150,-98.373374,33.26589135
PointZ (-97.52075999999999567 31.9783016968419993 0),MORGAN 0,5151,-97.52076,31.9783017
PointZ (-96.57728299999999422 32.96357134466529715 0),SACHSE 0,5152,-96.577283,32.96357134
PointZ (-97.714421999999999 33.08666285890770098 0),PARADISE 0,5153,-97.714422,33.08666286
PointZ (-97.38681499999999858 32.09783864317930124 0),RIO VISTA 0,5154,-97.386815,32.09783864
PointZ (-98.65744899999999973 32.75029027687470062 0),STRAWN 0,5155,-98.657449,32.75029028
PointZ (-98.91840399999999534 31.92206676685869837 0),May-00,5156,-98.918404,31.92206677
PointZ (-96.86047499999999388 32.59457431613780187 0),DESOTO 0,5157,-96.860475,32.59457432
PointZ (-96.61311700000000258 32.76686366876990064 0),MESQUITE 2 0,5158,-96.613117,32.76686367
PointZ (-96.94451399999999808 31.0730171449227015 0),ROSEBUD 0,5159,-96.944514,31.07301714
PointZ (-97.05153300000000627 33.20519646952470083 0),DENTON 2 0,5160,-97.051533,33.20519647
PointZ (-96.67583799999999883 32.82008356663909865 0),DALLAS 4 0,5161,-96.675838,32.82008357
PointZ (-96.94612899999999911 31.65185393469259978 0),AXTELL 0,5162,-96.946129,31.65185393
PointZ (-97.59536900000000514 31.06516270028519955 0),NOLANVILLE 0,5163,-97.595369,31.0651627
PointZ (-97.09890000000000043 33.19147492420430012 0),DENTON 1 0,5164,-97.0989,33.19147492
PointZ (-97.091700000000003 33.19207745000090171 0),DENTON 1 1,5165,-97.0917,33.19207745
PointZ (-97.10106000000000392 33.18960705862890137 0),DENTON 1 2,5166,-97.10106,33.18960706
PointZ (-97.10106000000000392 33.18840196672240239 0),DENTON 1 3,5167,-97.10106,33.18840197
PointZ (-96.87251799999999946 32.86429571507199654 0),DALLAS 39 0,5168,-96.872518,32.86429572
PointZ (-98.46711100000000272 32.32796462263790005 0),DUBLIN 1 0,5169,-98.467111,32.32796462
PointZ (-98.47251099999999724 32.32477045618050226 0),DUBLIN 1 1,5170,-98.472511,32.32477046
PointZ (-96.9055800000000005 32.03482102368010231 0),MERTENS 0,5171,-96.90558,32.03482102
PointZ (-97.77869800000000566 32.67909689842289822 0),WEATHERFORD 1 0,5172,-97.778698,32.6790969
PointZ (-96.72723100000000329 33.05132475133559922 0),PLANO 3 0,5173,-96.727231,33.05132475
PointZ (-96.89550300000000504 31.91543710609089857 0),MALONE 0,5174,-96.895503,31.91543711
PointZ (-97.09241600000000005 33.1434386216036998 0),DENTON 3 0,5175,-97.092416,33.14343862
PointZ (-98.31527400000000227 32.895926158054003 0),GRAFORD 0,5176,-98.315274,32.89592616
PointZ (-97.1452290000000005 32.63071227423340304 0),ARLINGTON 8 0,5177,-97.145229,32.63071227
PointZ (-96.43256999999999834 32.84744691096660318 0),ROCKWALL 1 0,5178,-96.43257,32.84744691
PointZ (-96.62174699999999916 32.04420729242959709 0),CORSICANA 2 0,5179,-96.621747,32.04420729
PointZ (-96.61094699999999591 32.04878442018360118 0),CORSICANA 2 1,5180,-96.610947,32.04878442
PointZ (-96.6161819999999949 32.92406724068759871 0),GARLAND 2 0,5181,-96.616182,32.92406724
PointZ (-97.71974500000000319 31.44894246759769985 0),GATESVILLE 2 0,5182,-97.719745,31.44894247
PointZ (-96.89457000000000164 32.95884833072479836 0),CARROLLTON 3 0,5183,-96.89457,32.95884833
PointZ (-97.43199900000000468 32.77177667628009772 0),FORT WORTH 26 0,5184,-97.431999,32.77177668
PointZ (-97.45919299999999907 33.08793601079850077 0),RHOME 0,5185,-97.459193,33.08793601
PointZ (-97.0867279999999937 32.4208521903986977 0),VENUS 0,5186,-97.086728,32.42085219
PointZ (-98.91655599999999993 33.24117066923680142 0),OLNEY 2 0,5187,-98.916556,33.24117067
PointZ (-96.87094000000000449 33.04533587803199879 0),CARROLLTON 1 0,5188,-96.87094,33.04533588
PointZ (-96.78525199999999984 32.79729032501609964 0),DALLAS 20 0,5189,-96.785252,32.79729033
PointZ (-98.32460399999999368 32.5769860107825977 0),GORDON 0,5190,-98.324604,32.57698601
PointZ (-97.7011229999999955 31.90399116078599917 0),MERIDIAN 0,5191,-97.701123,31.90399116
PointZ (-97.92377899999999613 30.92828601298460001 0),KILLEEN 4 0,5192,-97.923779,30.92828601
PointZ (-97.91297900000000709 30.92674194301890012 0),KILLEEN 4 1,5193,-97.912979,30.92674194
PointZ (-96.90828199999999981 32.65581063529599959 0),DUNCANVILLE 1 0,5194,-96.908282,32.65581064
PointZ (-97.17018199999999695 33.11045350460130265 0),ARGYLE 0,5195,-97.170182,33.1104535
PointZ (-98.34706900000000473 33.19525784160249771 0),BRYSON 1 0,5196,-98.347069,33.19525784
PointZ (-98.32906900000000405 33.19525784160249771 0),BRYSON 1 1,5197,-98.329069,33.19525784
PointZ (-98.35246899999999926 33.19209463753470146 0),BRYSON 1 2,5198,-98.352469,33.19209464
PointZ (-97.32615599999999745 32.7548654990742989 0),FORT WORTH 12 0,5199,-97.326156,32.7548655
PointZ (-98.11780600000000163 32.79052338206089701 0),MINERAL WELLS 0,5200,-98.117806,32.79052338
