eGRID2018 Plant file sequence number,Plant state abbreviation,Plant_name,DOE,Plant transmission or distribution system owner ID,Plant latitude,Plant longitude,Number of generators,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant_capacity_factor,Plant nameplate capacity (MW),Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),CalCapFac
1286,CA,McGrath Generating Station,56471,17609,34.205556,-119.246944,1,NG,GAS,0.0549,49.8,"240,390","240,390","23,962",0.099679687
1287,CA,McKittrick Cogen,52076,14328,35.3161,-119.6597,5,NG,GAS,0.4184,21.6,"911,357","911,357","79,176",0.086877064
1288,CA,McKittrick Limited,50612,14328,35.319503,-119.661992,1,NG,GAS,0.054,46,"134,040","134,040","21,742",0.162205677
1297,CA,Metcalf Energy Center,55393,14328,37.2207,-121.7457,3,NG,GAS,0.3739,635,"15,267,785","15,267,785","2,079,832",0.136223558
1299,CA,Micro Santa Clara,62459,14328,37.378422,-121.899969,1,NG,GAS,0.3064,2,"3,298","3,298","5,368",1.627653123
1303,CA,Midway Peaking,56639,14328,36.654114,-120.579727,2,NG,GAS,0.0403,139.8,"560,156","560,156","49,354",0.088107599
1307,CA,Midway Sunset Cogen,52169,14328,35.2269,-119.6294,3,NG,GAS,0.4147,234,"4,354,407","4,354,407","850,069",0.195220399
1309,CA,MillerCoors Irwindale Brewery,58056,17609,34.121667,-117.938333,5,NG,GAS,0.1353,13.9,"153,937","199,082","16,470",0.106991821
1313,CA,Mira Loma Generating Station,56473,17609,34.0053,-117.5604,1,NG,GAS,0.055,49.8,"244,322","244,322","24,008",0.098263767
1315,CA,Miramar Energy Facility,56232,16609,32.8769,-117.166389,2,NG,GAS,0.0996,106,"933,507","933,507","92,448",0.099033001
1343,CA,Moss Landing,260,14328,36.804837,-121.782241,9,NG,GAS,0.1538,"3,102.00","30,387,455","30,387,455","4,178,782",0.137516677
1349,CA,Mountainview Generating Station,358,17609,34.0818,-117.2418,8,NG,GAS,0.2046,"1,167.40","15,211,441","15,211,441","2,091,875",0.137519834
1352,CA,Municipal Cogen Plant,50674,17609,33.8247,-116.5106,3,NG,GAS,0.1936,2.6,"48,778","48,778","4,410",0.090409611
1363,CA,Naval Hospital Medical Center,50963,16609,32.7261,-117.1464,4,NG,GAS,0.3465,7.7,"155,195","155,195","23,370",0.150585087
1365,CA,Naval Station Energy Facility,10811,16609,32.679269,-117.122447,3,NG,GAS,0.0872,55.2,"439,299","439,299","42,163",0.09597787
1367,CA,NCPA Combustion Turbine Project #2,7449,14328,38.088138,-121.386944,1,NG,GAS,0.027,50,"102,050","102,050","11,838",0.11600196
1374,CA,New-Indy Ontario Mill,10427,17609,34.045361,-117.540193,3,NG,GAS,0.387,67,"1,306,517","1,306,517","227,147",0.173856887
1378,CA,Niland Gas Turbine Plant,56569,9216,33.238842,-115.504456,2,NG,GAS,0.0662,121,"661,387","661,387","70,203",0.106145116
1387,CA,North Island Energy Facility,10812,16609,32.70516,-117.189665,2,NG,GAS,0.0932,40.3,"334,662","334,662","32,905",0.098322946
1396,CA,NRG Energy San Diego,54337,16609,32.7149,-117.1689,2,NG,GAS,0.1361,1.6,"11,391","11,391","1,907",0.167408637
1400,CA,NTC/MCRD Energy Facility,10810,16609,32.7353,-117.2083,2,NG,GAS,0.0922,25.6,"215,655","215,655","20,681",0.095898601
1411,CA,Olive View Medical Center,10884,11208,34.326242,-118.44477,2,NG,GAS,0.3103,5.6,"85,476","85,476","15,221",0.178072494
1412,CA,OLS Energy Chino,50850,17609,33.989626,-117.680911,2,NG,GAS,0.0916,30.8,"167,778","167,778","24,709",0.147272231
1416,CA,One Market Plaza,58607,14328,37.793333,-122.394167,3,NG,GAS,0.19,1.5,"13,959","13,959","2,496",0.178806706
1421,CA,Orange Grove Project,56914,16609,33.3594,-117.1114,2,NG,GAS,0.0328,118,"377,585","377,585","33,879",0.089725492
1429,CA,Ormond Beach Generating Station,350,17609,34.1292,-119.1689,2,NG,GAS,0.0132,"1,612.00","2,169,947","2,169,947","186,015",0.085723292
1432,CA,Oroville Cogeneration LP,54477,14328,39.492,-121.5628,7,NG,GAS,0.0023,7.7,857,857,156,0.182011859
1435,CA,"Otay Mesa Energy Center, LLC",55345,16609,32.581481,-116.914969,3,NG,GAS,0.0818,688.5,"3,730,859","3,730,859","493,151",0.132181624
1439,CA,Oxnard,50464,17609,34.196,-119.1667,2,NG,GAS,0.9269,68.7,"3,676,688","3,676,688","557,802",0.151713177
1440,CA,Oxnard Paper Mill,57585,17609,34.1414,-119.1831,1,NG,GAS,0.7441,29,"1,058,327","1,058,327","189,038",0.178619704
1442,CA,P Plant,59456,16609,32.894722,-117.198056,2,NG,GAS,0.471,9.2,"251,548","251,548","37,962",0.150913657
1445,CA,Pacific Ethanol Stockton Cogen Plant,61027,14328,37.9418,-121.3383,1,NG,GAS,0.0527,4.8,"31,196","31,196","2,214",0.070970637
1454,CA,Palomar Energy Center,55985,16609,33.1197,-117.117778,3,NG,GAS,0.3931,559,"13,919,861","13,919,861","1,925,066",0.138296352
1456,CA,Panoche Energy Center,56803,14328,36.6514,-120.5833,4,NG,GAS,0.1627,432,"5,763,441","5,763,441","615,796",0.106845199
1463,CA,Parnassus Central Utility Plant,58198,14328,37.762524,-122.456747,3,NG,GAS,0.6138,13.4,"419,827","419,827","72,055",0.171630058
1464,CA,Pastoria Energy Facility,55656,17609,34.9556,-118.844,5,NG,GAS,0.6339,779,"30,991,125","30,991,125","4,325,910",0.139585446
1466,CA,PE Berkeley,50849,14328,37.870331,-122.26337,2,NG,GAS,0.6127,28.5,"867,011","867,011","152,957",0.176418811
1468,CA,Pebbly Beach,6704,17609,33.333056,-118.310278,32,DFO,OIL,0.261,12.9,"302,523","302,523","29,496",0.097500018
1471,CA,Phillips 66 Carbon Plant,50388,14328,38.018056,-122.2344,1,PC,OIL,0.5301,27.3,"1,156,007","1,156,007","126,783",0.109673211
1482,CA,Pio Pico Energy Center LLC,57555,16609,32.573889,-116.917777,3,NG,GAS,0.0433,395.4,"1,492,667","1,492,667","150,057",0.100529455
1489,CA,Pitchess Cogen Station,10478,17609,34.463896,-118.593991,2,NG,GAS,0.5398,28.3,"1,293,804","1,293,804","133,821",0.103432189
1490,CA,Pixar - Emeryville,59803,14328,37.83286,-122.284003,1,NG,GAS,0.7891,1.1,"55,025","55,025","7,604",0.138191731
1518,CA,Q Plant,59457,16609,32.904167,-117.201111,1,NG,GAS,0.8841,4.6,"193,624","193,624","35,625",0.183991051
1532,CA,Ratkovich Alhambra,62458,17609,34.08145,-118.15191,1,NG,GAS,0.0269,1,"4,587","4,587",236,0.051449749
1571,CA,Red Bluff,56184,14328,40.1501,-122.2124,16,NG,GAS,0.0341,46.4,"142,989","142,989","13,845",0.09682568
1574,CA,Redding Power Plant,7307,15783,40.507292,-122.423281,6,NG,GAS,0.1527,183.1,"2,040,969","2,040,969","244,990",0.12003612
1576,CA,Regional Wastewater Control Facility,56134,14328,37.9369,-121.3294,4,DFO,OIL,0.1791,4.8,"99,840","99,840","7,529",0.075410569
1580,CA,Richmond Cogen,52109,14328,37.9418,-122.3909,4,NG,GAS,0.4992,198.6,"4,482,636","4,482,636","868,496",0.19374672
1591,CA,Ripon Generation Station,56135,12745,37.7315,-121.116,2,NG,GAS,0.0234,121,"283,617","283,617","24,760",0.087300832
1595,CA,Riverside Energy Resource Center,56143,16088,33.9636,-117.4528,4,NG,GAS,0.0503,196,"941,003","941,003","86,351",0.091764851
1597,CA,Riverview Energy Center,55963,14328,38.014423,-121.790679,1,NG,GAS,0.0437,47,"207,847","207,847","18,001",0.086606975
1604,CA,Rockwood,7824,9216,32.9553,-115.5364,2,NG,GAS,0.0025,49.8,"15,997","15,997","1,092",0.068262799
1607,CA,"Rohr Inc., a Collins Aerospace Company",57713,16609,32.6325,-117.0997,3,NG,GAS,0.1736,9.6,"166,615","166,615","14,599",0.087621157
1608,CA,Roll Delano,58297,14328,35.734167,-119.236667,1,NG,GAS,0.8753,1.1,"63,404","63,404","8,434",0.133019999
1609,CA,Roll Delano 2,58296,14328,35.739722,-119.238056,1,NG,GAS,0.9628,1,"73,066","73,066","8,434",0.115429885
1610,CA,Roll Lost Hills,58298,14328,35.653056,-119.889722,1,NG,GAS,0.6745,1.1,"50,525","50,525","6,499",0.128629391
1615,CA,Roseville,7452,16295,38.810677,-121.323807,2,NG,GAS,0.0062,54.8,"45,029","45,029","2,955",0.065624375
1616,CA,Roseville Energy Park,56298,16295,38.7928,-121.3811,3,NG,GAS,0.1724,164,"2,081,563","2,081,563","247,650",0.118973099
1622,CA,Russell City Energy Company LLC,56467,14328,37.63466,-122.13381,3,NG,GAS,0.1761,655,"7,403,064","7,403,064","1,010,425",0.136487406
1626,CA,Sacramento Power Authority Cogen,7552,16534,38.511,-121.4735,2,NG,GAS,0.4978,173.9,"6,120,630","6,120,630","758,363",0.123902766
1629,CA,Saint Agnes Medical Center,54800,14328,36.8347,-119.7667,3,NG,GAS,0.4034,7.7,"140,814","140,814","27,211",0.1932412
1631,CA,Salinas River Cogeneration Facility,50865,14328,35.9515,-120.8679,1,NG,GAS,0.8846,38.9,"1,969,500","1,969,500","301,448",0.153058116
1638,CA,San Antonio Regional Hospital,50234,17609,34.1019,-117.6381,3,NG,GAS,0.4851,2.7,"135,781","135,781","11,474",0.084503551
1641,CA,San Diego State University,50061,16609,32.778225,-117.070114,8,NG,GAS,0.3679,17.6,"357,097","371,378","56,717",0.15882803
1658,CA,San Jose Cogeneration,10548,14328,37.336113,-121.878332,1,NG,GAS,0.5854,6,"224,893","224,893","30,770",0.136820668
1666,CA,Santa Clara Cogen,7232,16655,37.364297,-121.944238,2,NG,GAS,0.6647,7.8,"412,025","412,025","45,419",0.110233695
1675,CA,Santa Rita Jail,58625,14328,37.719167,-121.886944,6,NG,GAS,0.2237,6.7,"79,048","108,225","13,128",0.166076308
1676,CA,Santa Rita Jail Fuel Cell,60385,14328,37.719166,-121.886944,1,NG,GAS,0.8097,1.4,"83,806","83,806","9,930",0.118487936
1679,CA,"SC 1 Data Center, Phase 2",59074,16655,37.361667,-121.943611,41,DFO,OIL,0.0002,92.7,"2,385","2,385",172,0.07212222
1680,CA,SCA Cogen II,7551,16534,38.530943,-121.400128,4,NG,GAS,0.4577,193.4,"5,210,398","5,210,398","775,384",0.148814737
1681,CA,Scattergood Generating Station,404,11208,33.918151,-118.427648,9,NG,GAS,0.1187,"1,718.80","13,507,520","13,507,520","1,786,840",0.132284831
1695,CA,SEGS IX,10446,17609,35.033,-117.338,1,NG,GAS,0.1886,92,"191,816","191,816","152,022",0.792538839
1697,CA,SEGS VI,10442,17609,35.020981,-117.566079,1,NG,GAS,0.1416,35,"130,050","130,050","43,423",0.333893385
1698,CA,SEGS VII,10443,17609,35.014836,-117.565903,1,NG,GAS,0.1294,35,"149,085","149,085","39,662",0.266036661
1699,CA,SEGS VIII,10444,17609,35.0308,-117.3563,1,NG,GAS,0.184,92,"216,465","216,465","148,275",0.684983966
1700,CA,"Sentinel Energy Center, LLC",57482,17609,33.934167,-116.571388,8,NG,GAS,0.0693,800,"4,979,187","4,979,187","485,658",0.09753761
1714,CA,SF State University,57043,14328,37.723889,-122.4775,2,NG,GAS,0.7933,1.6,"63,237","63,237","11,119",0.17583035
1725,CA,Sierra Nevada Brewing Co,58585,14328,39.724167,-121.815278,4,NG,GAS,0.2098,5.2,"48,296","70,782","9,555",0.197840739
1739,CA,SJ/SC WPCP,56080,14328,37.4344,-121.9464,12,NG,GAS,0.1308,28.4,"214,681","214,681","32,551",0.151624811
1749,CA,Solano County Cogen Plant,50985,14328,38.2494,-122.0394,3,NG,GAS,0.5934,2.8,"101,371","101,371","14,556",0.14359134
1803,CA,Sonoma County Fuel Cell,57793,14328,38.466666,-122.723436,1,NG,GAS,0.8647,1.4,"65,981","65,981","10,605",0.160727099
1807,CA,South Belridge Cogeneration Facility,50752,14328,35.438611,-119.7075,3,NG,GAS,0.5324,94.2,"2,550,547","2,550,547","439,356",0.172259487
1808,CA,Southeast Kern River Cogen,50751,14328,35.4206,-118.9644,3,NG,GAS,0.4493,30.8,"662,713","662,713","121,221",0.182916268
1817,CA,Spreckels Sugar Company,57916,9216,32.911111,-115.568056,1,NG,GAS,0.2567,8.9,"111,442","111,442","20,012",0.179574404
1823,CA,Springs Generating Station,56144,16088,33.9308,-117.2933,4,NG,GAS,0.0013,40,"6,529","6,529",465,0.071220708
1827,CA,SRI International Cogen Project,50537,14328,37.455314,-122.172797,1,NG,GAS,0.5491,6,"172,031","172,031","28,860",0.167760269
1834,CA,Starbucks - Evolution Fresh,59804,56224,34.093684,-117.551044,1,NG,GAS,0.7438,1.1,"52,505","52,505","7,167",0.136501286
1860,CA,Sunrise Power Company,55182,14328,35.2097,-119.585,3,NG,GAS,0.5037,605.4,"18,695,393","18,695,393","2,671,368",0.142889106
1861,CA,SunSelect1,61754,17609,35.096709,-118.602184,2,NG,GAS,0.1411,6.6,"75,405","75,405","8,160",0.108215636
1865,CA,Sycamore Cogeneration,50134,17609,35.452577,-118.985313,4,NG,GAS,0.5206,300,"8,212,092","8,212,092","1,368,124",0.166598718
1868,CA,Taft 26C Cogen,52085,14328,35.1133,-119.4706,4,NG,GAS,0.7111,12.4,"401,808","401,808","77,245",0.19224365
1875,CA,Taylor Farms Salinas,58303,14328,36.6575,-121.623333,1,NG,GAS,0.6059,1.1,"41,328","41,328","5,838",0.141260163
1896,CA,THUMS,56051,17609,33.7684,-118.2141,1,NG,GAS,0.6955,57.4,"3,664,413","3,664,413","349,699",0.09543111
1905,CA,Tracy Combined Cycle Power Plant,55933,14328,37.7107,-121.4906,3,NG,GAS,0.2949,336.1,"7,202,852","7,202,852","868,383",0.120560994
1906,CA,Transamerica Pyramid,58619,14328,37.795556,-122.402778,2,NG,GAS,0.3537,1,"17,583","17,583","3,098",0.176197393
1921,CA,UCI Facilities Management Central Plant,57122,17609,33.6481,-117.8467,2,NG,GAS,0.6038,19,"556,069","556,069","100,495",0.180723935
1922,CA,UCI Fuel Cell,60120,17609,33.788,-117.8901,1,NG,GAS,0.6755,1.4,"53,549","53,549","8,284",0.154699856
1923,CA,UCLA So Campus Cogen Project,52073,11208,34.0692,-118.4439,3,NG,GAS,0.7692,43,"1,530,001","1,530,001","289,734",0.189368485
1924,CA,UCSD Fuel Cell Plant,57735,16609,32.877222,-117.234722,1,NG,GAS,0.7508,3,"182,462","182,462","19,731",0.108137585
1926,CA,Univ of Calif Santa Cruz Cogeneration,50064,14328,36.9997,-122.0622,3,NG,GAS,0.4966,7.2,"191,928","191,928","31,321",0.163191136
1928,CA,Univ of San Francisco Cogen,50089,14328,37.77656,-122.451878,1,NG,GAS,0.2989,1.5,"28,226","28,226","3,928",0.139162533
1929,CA,University of California San Diego,57584,16609,32.8747,-117.2392,4,NG,GAS,0.6636,35.5,"1,257,834","1,257,834","206,380",0.164075721
1932,CA,US Borax,50115,17609,35.0329,-117.701,1,NG,GAS,0.6686,48.2,"1,522,894","1,522,894","282,302",0.185372082
1945,CA,Valero Refinery Cogeneration Unit 1,55851,14328,38.0736,-122.1411,1,NG,GAS,0.8109,51,"1,847,088","1,847,088","362,289",0.196140608
1950,CA,Valley Generating Station,408,11208,34.244991,-118.391327,8,NG,GAS,0.1378,"1,236.10","11,151,261","11,151,261","1,491,978",0.133794555
1961,CA,Verizon-Torrance,59261,11208,33.850556,-118.304167,1,NG,GAS,0.7983,1,"51,477","51,477","6,993",0.135847077
1988,CA,W Plant,59458,16609,32.903333,-117.195556,1,NG,GAS,0.8613,4.6,"204,221","204,221","34,706",0.169943602
1993,CA,Walnut,4256,19281,37.4903,-120.9044,2,NG,GAS,0,49.8,"10,420","10,420",10,0.000959693
1994,CA,Walnut Creek Energy Park,57515,17609,34.008709,-117.944864,5,NG,GAS,0.0872,500,"3,763,553","3,763,553","382,025",0.101506475
1995,CA,Walnut Energy Center,56078,19281,37.4878,-120.8956,3,NG,GAS,0.467,300.6,"10,279,657","10,279,657","1,229,721",0.119626657
2000,CA,Watkins Manufacturing Co.,57715,16609,33.143847,-117.236908,2,NG,GAS,0.2059,2,"74,579","74,579","3,608",0.04837823
2001,CA,Watson Cogeneration,50216,17609,33.816647,-118.244841,7,NG,GAS,0.6834,499.2,"16,739,654","16,739,654","2,988,696",0.178539893
2003,CA,Welport Lease Project,54447,14328,35.354444,-119.6617,1,NG,GAS,0.6005,5,"164,715","164,715","26,303",0.159688164
2012,CA,Western Power & Steam Inc,54410,14328,35.440539,-119.012861,2,NG,GAS,0.4722,36,"1,078,123","1,078,123","148,922",0.138130747
2054,CA,Wolfskill Energy Center,55855,14328,38.228522,-122.07525,1,NG,GAS,0.0228,47,"112,922","112,922","9,388",0.083137033
2056,CA,Woodland Generation Station,7266,12745,37.652602,-121.020397,9,NG,GAS,0.2954,199,"3,747,571","3,747,571","515,019",0.137427417
2063,CA,Xilinx San Jose,58299,14328,37.252778,-121.934167,1,NG,GAS,0.7995,1.1,"52,245","52,245","7,704",0.147459087
2064,CA,Yahoo! - HQ,59805,14328,37.415419,-122.025747,1,NG,GAS,0.7753,1.1,"54,916","54,916","7,471",0.13604414
2068,CA,Yuba City Cogen Partners,52186,14328,39.13667,-121.639846,1,NG,GAS,0.0247,49,"80,083","80,083","10,599",0.132350061
2069,CA,Yuba City Energy Center,10349,14328,39.1365,-121.6397,1,NG,GAS,0.522,49.5,"272,777","272,777","226,368",0.829863781
2070,CA,Yuba City Energy Center,55813,14328,39.1392,-121.6387,1,NG,GAS,0.0776,47.3,"374,248","374,248","32,148",0.085900259
2077,CO,Airport Industrial,7995,56146,38.2844,-104.5308,4,DFO,OIL,0,10,772,772,-239,-0.309585492
2078,CO,Alamosa,464,15466,37.4594,-105.8947,2,NG,GAS,0.0189,53.2,"138,780","138,780","8,794",0.063366479
2080,CO,American Gypsum Cogeneration,54630,8773,39.648565,-106.949394,4,NG,GAS,0.2238,9.6,"323,350","323,350","18,823",0.058212481
2084,CO,Arapahoe Combustion Turbine Facility,55200,15466,39.6692,-105.0018,3,NG,GAS,0.1474,194,"2,269,238","2,269,238","250,560",0.110415919
2091,CO,Blue Spruce Energy Center,55645,15466,39.747875,-104.681404,2,NG,GAS,0.0605,397.8,"2,792,751","2,792,751","210,818",0.075487575
2097,CO,Brush Power Projects,10682,15466,40.2415,-103.631,8,NG,GAS,0.0525,297.2,"1,006,175","1,006,175","136,591",0.135752727
2098,CO,Burlington (CO),6619,15466,39.3561,-102.2431,2,DFO,OIL,0.0032,129.4,"49,350","49,350","3,674",0.074447822
2111,CO,Cherokee,469,15466,39.807275,-104.964548,7,NG,GAS,0.3074,"1,426.90","32,248,887","32,248,887","3,841,878",0.119132111
2116,CO,Colorado Energy Nations Company,10003,15466,39.7606,-105.215,4,NG,GAS,0.5563,35.4,"986,296","986,296","172,515",0.174911992
2119,CO,Comanche (470),470,15466,38.2081,-104.5747,3,SUB,COAL,0.6814,"1,635.30","98,305,160","98,305,160","9,761,647",0.099299437
2123,CO,Craig,6021,30151,40.4627,-107.5912,3,SUB,COAL,0.5872,"1,427.60","79,641,895","79,641,895","7,342,832",0.092198108
2141,CO,Fort Lupton,8067,15466,40.0922,-104.796,2,NG,GAS,0.0031,100.8,"45,863","45,863","2,737",0.059677736
2142,CO,Fort St. Vrain,6112,15466,40.2461,-104.8742,6,NG,GAS,0.3548,"1,148.50","27,967,412","27,967,412","3,569,204",0.127620103
2143,CO,Fountain Valley Power Plant,55453,15466,38.5569,-104.6875,6,NG,GAS,0.0651,228,"1,545,411","1,545,411","130,058",0.084157546
2144,CO,Frank Knutson Station,55505,15466,39.941129,-104.682015,2,NG,GAS,0.0294,154.2,"509,328","509,328","39,650",0.077847674
2145,CO,Front Range Power Plant,55283,3989,38.6281,-104.7069,3,NG,GAS,0.5463,554.3,"21,023,727","21,023,727","2,652,638",0.126173537
2148,CO,George Birdsall,493,3989,38.881389,-104.816944,3,NG,GAS,0.0074,61.1,"63,761","63,761","3,984",0.062482868
2158,CO,Hayden,525,27000,40.4856,-107.185,2,BIT,COAL,0.5699,465.4,"26,588,786","26,588,786","2,323,596",0.087390075
2161,CO,Holly,502,8751,38.032717,-102.073659,6,DFO,OIL,0.0002,5.5,196,196,11,0.056122735
2166,CO,J M Shafer,50707,15466,40.0986,-104.7736,7,NG,GAS,0.2255,396.9,"6,206,485","6,206,485","784,004",0.126320131
2170,CO,La Junta,506,10536,37.9876,-103.5468,9,DFO,OIL,0,19,25,25,"-1,001",-40.04320346
2174,CO,Limon Generating Station,55504,30151,39.2038,-103.7005,2,NG,GAS,0.0279,154.2,"478,861","478,861","37,685",0.078697158
2181,CO,Manchief Generating Station,55127,15466,40.217143,-103.68504,2,NG,GAS,0.1143,300,"3,226,169","3,226,169","300,300",0.093082538
2183,CO,Martin Drake,492,3989,38.824444,-104.833333,3,SUB,COAL,0.409,257.3,"11,247,890","11,247,890","921,772",0.081950659
2195,CO,Nucla,527,30151,38.2383,-108.5069,4,BIT,COAL,0.0618,113.8,"979,719","979,719","61,553",0.062827198
2210,CO,Pawnee,6248,15466,40.2217,-103.6803,1,SUB,COAL,0.6779,552.3,"38,215,309","38,215,309","3,279,923",0.085827462
2215,CO,Plains End,55650,15466,39.857499,-105.225967,20,NG,GAS,0.0067,114,"67,061","67,061","6,672",0.099491508
2216,CO,Plains End II LLC,56516,15466,39.8586,-105.2256,14,NG,GAS,0.0103,117.6,"95,741","95,741","10,611",0.110830321
2220,CO,Pueblo,460,56146,38.2667,-104.6144,6,DFO,OIL,0,30.5,463,463,-120,-0.259179266
2221,CO,Pueblo Airport Generating Station,56998,56146,38.320833,-104.52639,10,NG,GAS,0.2613,540,"11,130,637","11,130,637","1,236,252",0.111067498
2224,CO,Rawhide Energy Station,6761,15143,40.860905,-105.021207,6,SUB,COAL,0.2668,800.4,"18,646,620","18,646,620","1,870,849",0.100331803
2225,CO,Ray D Nixon,8219,3989,38.633451,-104.70577,3,SUB,COAL,0.4579,282.6,"10,921,903","10,921,903","1,133,636",0.103794732
2228,CO,Rifle Generating Station,10755,15466,39.5173,-107.7299,4,NG,GAS,0.0097,84,"60,329","60,329","7,156",0.118616441
2229,CO,Rocky Ford,6516,56146,38.0492,-103.7136,6,DFO,OIL,0,12,"1,830","1,830",-167,-0.091255738
2230,CO,Rocky Mountain Energy Center,55835,15466,40.0908,-104.5953,3,NG,GAS,0.3859,685.1,"19,930,155","19,930,155","2,315,659",0.11618871
2249,CO,Spindle Hill Energy Center,56445,15466,40.092192,-104.887844,2,NG,GAS,0.0901,420,"3,684,914","3,684,914","331,463",0.089951353
2270,CO,Trinidad (CO),511,16616,37.178979,-104.487492,6,NG,GAS,0.0003,12.9,289,289,31,0.107263347
2275,CO,University of Colorado,54372,15466,40.00759,-105.269204,3,NG,GAS,0.003,33,"4,985","4,985",861,0.172788915
2279,CO,Valmont,477,15466,40.0195,-105.202,2,NG,GAS,0.0012,251,"68,383","68,383","2,717",0.039732097
2286,CO,Western Sugar Coop- Ft Morgan,58081,6610,40.263,-103.8069,1,SUB,COAL,0.4543,3,"67,327","67,327","11,939",0.177328092
3277,ID,Amalgamated Sugar LLC Nampa,54690,9191,43.6058,-116.5753,3,NG,GAS,0.4183,8.7,"179,477","179,477","31,879",0.177622018
3278,ID,Amalgamated Sugar Twin Falls,10504,9191,42.5328,-114.4328,3,NG,GAS,0.5332,10.2,"267,768","267,768","47,641",0.177920542
3288,ID,Bennett Mountain Power Project,55733,9191,43.147153,-115.666637,3,NG,GAS,0.0434,392.8,"1,647,827","1,647,827","149,158",0.090517997
3298,ID,BYUI Central Energy Facility,59496,14354,43.816944,-111.785833,1,NG,GAS,0.8025,5.6,"202,886","202,886","39,365",0.194025352
3322,ID,Evander Andrews Power Complex,7953,9191,43.179176,-115.734315,3,NG,GAS,0.0538,270.9,"1,380,629","1,380,629","127,648",0.092456409
3350,ID,Langley Gulch Power Plant,57028,9191,43.904444,-116.819722,2,NG,GAS,0.4054,318.5,"7,851,126","7,851,126","1,131,203",0.144081626
3389,ID,Rathdrum Combustion Turbine Project,7456,20169,47.80427,-116.867312,2,NG,GAS,0.0995,166.4,"1,462,846","1,462,846","145,074",0.099172435
3390,ID,"Rathdrum Power, LLC",55179,1738,47.7858,-116.9203,2,NG,GAS,0.6035,301.5,"11,256,502","11,256,502","1,593,817",0.141590789
3397,ID,Salmon Diesel,817,9191,45.183368,-113.885307,2,DFO,OIL,0.0008,5,447,447,36,0.080536913
5701,MO,Anheuser-Busch St Louis,10430,19436,38.597755,-90.210671,3,NG,GAS,0.1867,26.1,"232,799","232,799","42,676",0.183317073
5702,MO,Asbury,2076,5860,37.361315,-94.58926,2,SUB,COAL,0.4157,231.5,"9,472,520","9,472,520","842,928",0.088986669
5703,MO,Audrain Power Plant,55234,19436,39.3092,-91.5369,8,NG,GAS,0.0071,814.4,"597,916","597,916","50,473",0.084414868
5705,MO,Blue Valley,2132,9231,39.0919,-94.3261,4,NG,GAS,0.0126,176,"183,111","183,111","19,429",0.10610504
5707,MO,Butler Municipal Power Plant,2115,2647,38.264408,-94.344385,8,DFO,OIL,0.0005,13.1,"1,002","1,002",52,0.051838272
5711,MO,Carthage,2121,3113,37.176646,-94.299431,9,NG,GAS,0,41.8,"11,220","11,220",-18,-0.001604367
5712,MO,Chillicothe,2122,3486,39.783388,-93.564112,10,NG,GAS,0.0033,103.5,"48,163","48,163","3,020",0.062703735
5714,MO,City of West Plains Power Station,59664,17106,36.748611,-91.868611,2,NG,GAS,0.0012,47.4,"7,254","7,254",477,0.065756824
5717,MO,Columbia,2123,4045,38.964646,-92.316768,14,NG,GAS,0.0457,99.6,"319,330","319,330","39,852",0.124798791
5718,MO,Columbia Energy Center (MO),55447,4045,39.0192,-92.2629,4,NG,GAS,0.0055,162.8,"91,575","91,575","7,817",0.085361725
5722,MO,Dogwood Energy Facility,55178,10000,38.7931,-94.3006,3,NG,GAS,0.3709,630,"15,076,437","15,076,437","2,047,145",0.135784403
5724,MO,Elm Street Substation Generators,56597,6205,37.7814,-90.4156,4,DFO,OIL,0.0003,8,323,323,19,0.058823529
5725,MO,Empire District Elec Co Energy Ctr,6223,5860,37.1385,-94.1041,4,NG,GAS,0.0355,379,"1,554,803","1,554,803","117,952",0.075862987
5726,MO,Essex Power Plant,7749,924,36.868206,-89.840173,2,NG,GAS,0.0166,229.2,"405,620","405,620","33,318",0.08214092
5727,MO,Fairgrounds,2082,19436,38.5935,-92.2206,1,DFO,OIL,0.0008,68.3,"20,261","20,261",459,0.022654361
5731,MO,Fredericktown Energy Center,57946,6761,37.571672,-90.317251,2,NG,GAS,0.0538,27.6,"157,734","157,734","13,002",0.082429914
5732,MO,Fulton (MO),2126,6839,38.868095,-91.94778,4,NG,GAS,0.003,38.2,"26,098","26,098","1,000",0.038317112
5735,MO,Grand Ave Plant,58205,10000,39.111944,-94.581111,1,NG,GAS,0.7649,5,"188,415","188,415","33,502",0.177809788
5737,MO,Greenwood Energy Center,6074,10000,38.8615,-94.2982,5,NG,GAS,0.0064,261.8,"353,110","395,819","14,661",0.04151964
5739,MO,Hawthorn,2079,10000,39.1306,-94.4778,5,SUB,COAL,0.3252,"1,046.20","28,344,550","28,344,550","2,980,606",0.105156229
5740,MO,Higginsville Municipal Power Plant,2131,8567,39.073315,-93.714748,6,NG,GAS,0.0147,51.6,"103,787","103,787","6,642",0.063996454
5743,MO,Holden Power Plant,7848,924,38.7538,-93.9983,3,NG,GAS,0.053,321.3,"1,826,869","1,826,869","149,091",0.081610121
5745,MO,Iatan,6065,10000,39.4472,-94.98,2,SUB,COAL,0.5178,"1,725.00","74,300,901","74,300,901","7,824,589",0.105309477
